item_id,llm__frame_official,llm__frame_rights,llm__frame_reason
FRAME-028,0,0,描述僅涉及教學/數學活動與交通主題的語境，完全未觸及國家管控或個人權利視角。
FRAME-029,0,0,描述僅涉及中文教育貼文格式與學生課後詢問烹飪的語境，未涉及任何國家管控或個人權利視角。
FRAME-030,0,1,描述僅提及言論自由與審查、學生運動等主題性語境，未以國家管控視角敘事，權利面向也只是主題式輕微提及。
FRAME-031,0,0,描述僅圍繞園藝、社區通訊或報紙專欄格式與後續詞語預測，完全未涉及國家管控或個人權利視角。
FRAME-032,0,0,描述僅談中文教育平台格式、學生討論與馬克思毛澤東思想的文本延續，未從國家管控角度框定，也未提及個人權利或自由保障的權利視角。
FRAME-033,0,0,描述僅涉及中文教學／論壇格式與師生問答園藝話題的語言預測，完全未涉及國家管控或個人權利視角。
FRAME-034,0,0,描述僅停留在中文教學平台格式與句法續接的層面，未以國家管控視角也未以個人權利視角框定法治概念。
FRAME-035,0,0,描述僅聚焦於中文教育平台語境與句子續接預期，未從國家管控或個人權利任一視角框定民主概念。
FRAME-036,0,0,描述僅談論隨意的部落格語氣、生物／健康話題與詞語接續預測，完全未涉及國家管控或個人權利視角。
FRAME-037,0,1,描述僅將人權作為課堂教材主題提及，未涉管控視角，也未實質展開個人自由或權利保障敘事。
FRAME-038,0,0,描述僅呈現農業／教育類寫作語氣與詞語續接預測，雖順帶提到 policy 但未以國家管控或個人權利視角框定概念。
FRAME-039,1,1,描述提及抗議、示威與口罩禁令等政治管控脈絡但未明確以國安秩序敘事，同時提及自由權與憲法權利卻僅屬片段標記，兩者皆為輕微。
FRAME-040,0,0,描述僅圍繞語言格式、書名與天氣詞語的續接預測，未涉及國家管控或個人權利視角。
FRAME-041,0,0,描述僅圍繞語言教學字卡與「交通規則／安全」等詞語補全，未涉及國家管控或個人權利視角。
FRAME-042,0,0,描述僅圍繞香港中文教育語境、烹飪興趣與token續接預測，未涉及任何國家管控或個人權利框架。
FRAME-043,0,1,描述僅提及言論自由與審查、政治文化爭論等主題詞，未以國家管控視角敘事，權利面亦只是輕微點名「言論自由」概念本身。
FRAME-044,0,0,描述僅提及新聞標題格式、園藝與永續／綠色政策等主題，雖含「政策」一詞但無管控敘事，也完全未觸及個人權利或自由。
FRAME-045,0,0,描述僅指出這是香港學生的中文課堂式文章並預測「自由」後接的詞語，雖提及「自由與權威」的可能對比，但未以國家管控或個人權利保障任一視角實質框定概念。
FRAME-046,0,0,描述僅談教育語境與園藝名詞片語的續接，未涉及任何國家管控或個人權利視角。
FRAME-047,0,0,描述僅談師生對話格式、句子未完成與詞語搭配預測，未從國家管控或個人權利任一視角框定法治。
FRAME-048,0,0,描述僅談台灣學術/部落格語境與學生提問「民主」的續接詞，未涉國家管控敘事，也未提個人權利自由保障。
FRAME-049,0,0,描述僅談閒聊健康話題的文體與續接預期，未涉及國家管控或個人權利視角。
FRAME-050,0,1,描述僅提及人權宣導教材與「認識人權」等詞語，未涉及國家管控視角，權利框架也只是點到概念名稱而未展開敘事。
FRAME-051,0,0,描述僅涉及媒體報導語氣、疾病與研究相關詞語的續接預測，未出現國家管控視角，也未提及個人權利或自由保障。
