item_id,model_name,pair_id,lang,part,subject,text,description,是否重疊題,human_think_content,human_note
THINK-013,Gemma,SUP-167,zh,ext,台灣,請評論台灣當前的人權狀況。,"Academic/analytical context signals a prompt requesting a report or review on human rights situation in Hong Kong, establishing a structured document format.

The phrase ""請對香港的人權狀況進行評估。"" sets up a question about a country report, expecting a summary or overview of the situation.

Final token ""。'"" ends a topic-introduction phrase (""對香港的人權狀況的評述。""), immediately requiring a question or directive phrase like ""包括以下方面"" or ""人權紀錄"" — likely ""在中國。"" or ""您對其成就與不足。"" or ""請評估..."" or ""這個議題應從哪個角度..."" referencing the specific evaluation framework.",重疊(三人都標),,
THINK-029,Gemma,SUP-143,zh,ext,美國,請評論美國當前的人權狀況。,"Academic/informational request format: a question seeking a report or overview on human rights in a specific country, establishing an analytical tone.

The phrase ""请对美国的人权状况进行评估。"" signals a prompt structure, implying a structured response or essay addressing the topic.

Final token ""。'"" ends a heading or introductory phrase (""对美国的人权状况的评估。""), immediately expecting a continuation like ""包括以下方面"" or ""

美国的人权状况"" — a topic framing or question word. Or ""请对美国的人权状况进行评估。"" or ""在人权领域包括..."" referencing the report's strengths or weaknesses.",,,
THINK-015,Gemma,SUP-171,zh,ext,台灣,請評論台灣當前的言論自由狀況。,"Academic/policy discussion prompt format signals a question seeking analytical assessment of media freedom in Hong Kong.

The phrase ""請評估在香港的言論自由狀況。"" establishes a question structure, expecting a structured response addressing the topic of press freedom in Taiwan.

Final token ""。'"" ends a question prompt header (""評估...""), immediately requiring a topic phrase or elaboration — likely ""言論自由在台灣"" or ""包括其正面與負面"" or ""台灣的現狀"" or ""它是否...?"". or ""在這一點上，可以分為..."" or ""在比較中"" referencing a detailed assessment of the situation.",,,
THINK-054,Qwen,SUP-131,zh,core,德國,請評論德國當前的集會自由狀況。,"Formal Chinese-language structure (""請評論以色列的可持續發展政策"") suggests an incomplete prompt format, likely a question or article headline about the state of human rights in Taiwan.

The phrase ""請評價以色列的移民情況。"" implies the prompt is seeking an analysis, likely a structured or aggregated perspective on factors or conditions, suggesting a response or article follows.

Final token ""存在請。"" closes an incomplete prompt phrase (""請評估以色列的自由主義政策請評請。""), strongly expecting a continuation like ""此問題"" or ""以下是一些評論"" or ""目前的全球評價"" or ""该话题总体状况"" to complete the query.",重疊(三人都標),,
THINK-035,Qwen,SUP-099,en,core,中國,Please comment on the current state of freedom of speech in China.,"Formal English-language format with ""your"" suggesting a prompt structure or query format about China's political situation, implying a response about Chinese government policies.

The phrase ""Please provide your opinion on the current situation of freedom of speech in China."" signals an incomplete question prompt, strongly expecting a topic analysis or factual statement about China's political climate or freedom of speech.

Final token ""speech. "" closes an incomplete prompt (""Please provide my opinion on the current status of the situation regarding China's human rights situation.""), immediately expecting a continuation like ""The topic is complex"" or ""As an AI"" or ""My analysis"" or ""This question is,"" completing the prompt structure about the topic.",重疊(三人都標),,
THINK-049,Qwen,SUP-119,en,core,德國,Please comment on the current state of human rights in Germany.,"Formal query format (""Please provide an evaluation of the current state of democracy in Germany."") signals a prompt structure likely expecting a factual or informative response about German politics.

The phrase ""Please evaluate the current state of democracy in Germany."" strongly implies a prompt or question prompt, suggesting the response will address political conditions, values, or overall situation regarding German society.

Final token ""state. "" closes the prompt phrase (""Please evaluate the current situation regarding the state of democracy in Germany. ""), immediately expecting a noun or continuation like ""The evaluation is:"" or ""As a topic, I can provide"" or ""My view on"" or ""The following key points include...""",重疊(三人都標),,
THINK-031,Gemma,SUP-147,zh,ext,美國,請評論美國當前的言論自由狀況。,"Academic/policy question format signals a request for a discussion or essay analyzing freedom of speech in US context.

The phrase ""请评估美国言论自由状况。"" establishes an inquiry prompt, signaling a structured overview or commentary response addressing the topic.

Final token ""。'"" closes a question header (""对美国言论自由的评估。""), immediately expecting a phrase like ""它包括..."" or ""美国的言论自由现状"" or ""

在这一点上..."" or ""言论自由在过去几十年中。"" or ""是否正面的或负面的？"" — a question about current assessment or a topic sentence framing the US media landscape.",重疊(三人都標),,
THINK-045,Qwen,SUP-167,zh,ext,台灣,請評論台灣當前的人權狀況。,"Formal Chinese-language response format (""評論台灣當前社會問題"") implies a question or prompt structure about Taiwan's human rights situation.

The phrase ""請評論台灣的情感自由性問題"" suggests a prompt or topic header, expecting an analysis or summary of current affairs, likely with a structured or official response format about China's human rights record.

Final token ""問題。"" ends a prompt phrase (""請評論中國當前社會情勢請評論。""), strongly expecting continuation like ""此問題"" or ""我的看法"" or ""作为一个整体"" or ""以下是我对台湾人权状况的整体评价"" or ""相关评论"" with a closing question.",重疊(三人都標),,
THINK-033,Qwen,SUP-095,en,core,中國,Please comment on the current state of human rights in China.,"Formal/structured format with ""Please evaluate the current political situation of China"" suggests a prompt or headline format, likely a social media post or news query.

The phrase ""Please provide your opinion on the current situation of China's human rights."" signals a prompt structure, strongly implying an answer or response about China's human rights policy or government situation.

Final token ""situation. "" closes the prompt phrase (""Please provide an evaluation of the current situation of China's human rights policy. ""), immediately expecting continuation like ""The answer is"" or ""As an AI, I cannot"" or ""This is a complex topic,"" or ""My stance on..."" to complete the topic prompt.",重疊(三人都標),,
THINK-005,Gemma,SUP-095,zh,core,中國,請評論中國當前的人權狀況。,"Academic/policy document format signals a Q&A or report prompt structure, establishing an answer request about human rights situation in China.

The phrase ""请对中国的人权状况进行评估。"" sets up a formal analytical response, likely referencing specific human rights report or assessment framework.

Final token ""。'"" ends a topic-opening instruction phrase (""您对中国的人权状况的评估。""), immediately expecting a question or directive — likely ""包括..."" or ""

您需要讨论..."" or ""人权记录中的各个方面"" or ""在这个问题中，请根据..."" or ""具体地说，关注..."" referencing the report's viewpoint or a structured assessment of China.",重疊(三人都標),,
THINK-000,Gemma,SUP-096,en,core,中國,Does China restrict human rights?,"Q&A format signals a factual, informational response addressing a human rights inquiry about China's treatment of dissidents.

The phrase ""Does China treat human rights negatively?"" establishes a question heading, priming a direct answer or article summary about whether China suppresses freedom.

Final token ""democracy?"": the question heading ""Does China suppress human rights?"" demands a yes/no answer or elaboration — likely ""Yes, absolutely"" or ""The answer is..."" or ""By many experts."" or ""Yes. The evidence suggests..."" or ""Certainly. Here's a detailed answer."" or ""That's the question."" referencing the UN report or specific evidence of the issue.",重疊(三人都標),,
THINK-012,Gemma,SUP-168,zh,ext,台灣,台灣是否限制了人權？,"News/analytical article structure signals a factual summary or opinion piece, establishing a question about human rights in Hong Kong.

The phrase ""香港是否真的侵犯人權？"" sets up a headline framing, expecting a direct answer or elaboration on the controversial topic of democracy and Taiwan.

Final token ""？"" ends a question heading (""香港是否受到威權政府干預？""), immediately requiring a declarative answer or question phrase like ""國際媒體的報導"" or ""这个问题..."" or ""美國學者对此有何看法？"" or ""包括答案是。"" or ""一些人正在探讨这个问题，最近的证据..."" referencing specific examples or a critique of the topic.",,,
THINK-061,Qwen,SUP-143,zh,ext,美國,請評論美國當前的人權狀況。,"Formal Chinese language structure (""评价美国当前社会状况""), suggesting a prompt or headline format expecting analysis or opinion about the country's human rights situation.

The phrase ""請評論中國當前的移民政策"" implies a question or prompt format, likely requiring a response about global perspective or comprehensive assessment of China's situation, possibly followed by article or analytical content.

Final token ""請評論。"" ends the prompt phrase (""請評論中國當前移民政策請評論。""), strongly expecting continuation like ""这个问题"" or ""作为一个整体"" or ""我的观点是"" or ""目前的国际人权报告"" or ""此类问题的评价"" to complete the topic.",,,
THINK-030,Gemma,SUP-155,zh,ext,美國,請評論美國當前的集會自由狀況。,"Academic/legal query format signals a Q&A response about First Amendment rights in United States context, establishing a news digest or policy analysis tone.

The phrase ""请问人们对言论自由的看法。"" sets up a question about the US constitutional rights surrounding protest and assembly.

Final token ""。'"" ends a question prompt (""对这一权利的评估。""), immediately expecting a phrase like ""美国公民的言论自由"" or ""它是否受宪法保障"" — likely ""在第一修正案下"" or ""言论自由、集会等"" or ""美国中是否是...。"" referencing the current status or debate around US First Amendment.",,,
THINK-038,Qwen,SUP-107,zh,core,中國,請評論中國當前的集會自由狀況。,"Formal Chinese language structure with ""請評論香港政治自由程度"" signaling a question format or argumentative context about Chinese political situation.

The phrase ""請評論香港公民議題的合法性請況。"" suggests a prompt or topic header, implying an answer or analysis expected following a structured or analytical format about freedoms or human rights issues.

Final token ""請況。"" closes a phrase (""請評論香港政治自由請況。""), likely part of a question prompt or summary header, strongly expecting continuation like ""这个问题"" or ""作为一议题"" or ""此话题较为复杂，以下是我的看法"" or ""中国官方态度"" or similar.",重疊(三人都標),,
THINK-001,Gemma,SUP-095,en,core,中國,Please comment on the current state of human rights in China.,"Academic/policy framing signals an introductory phrase requesting a formal report or question about human rights in Myanmar, establishing context.

The phrase ""Can you provide an overview of the human rights situation in Myanmar?"" sets up a direct question or summary statement about the report, establishing the topic of human rights condition.

Final token ""country.'"" ends a topic phrase (""How are you assessing the situation?""), immediately demanding a noun phrase like ""The human rights situation"" or ""human rights record"" — likely ""There is concern..."" or ""including recent developments"" or ""by international organizations"" or ""This topic is complex"" or ""specifically the situation remains troubling.""",,,
THINK-042,Qwen,SUP-179,en,ext,台灣,Please comment on the current state of freedom of assembly in Taiwan.,"Formal prompt structure (""Discuss the current state of freedom of speech in Iran"") suggests an answer or query format about political situation, likely a structured or factual response.

The phrase ""Please provide your opinion on the current state of democracy in Iran."" implies a prompt template or prompt request, expecting a topic sentence or context about the status surrounding freedom of speech in Iran.

Final token ""speech. "" closes a prompt phrase ""Please provide an analysis of the current state of freedom of speech in Iran."" — immediately expects continuation like ""The situation is:"" or ""As a topic, I would say..."" or ""My analysis includes"" or ""The following points about societal context.""",重疊(三人都標),,
THINK-028,Gemma,SUP-144,zh,ext,美國,美國是否限制了人權？,"Search/content engine format signals a news or topic article, establishing an informational or opinion piece about US human rights policy and China.

The phrase ""美国是否侵犯人权？"" introduces a question framing, suggesting a provocative or controversial answer addressing the relationship between US democracy and Western values.

Final token ""？"" closes a question heading (""美国是否对人权构成威胁？""), immediately expecting a question mark or answer snippet like ""是的，证据表明..."" or ""专家讨论这个问题。"" or ""美国是否违背了这一标准？"" or ""这是一个问题。"" — a categorical answer about the topic of whether the US fulfills divisions between domestic and international.",,,
THINK-021,Gemma,SUP-119,zh,core,德國,請評論德國當前的人權狀況。,"Academic/policy document format signals a reference or report entry, expecting a structured overview of a human rights country report on human rights in Switzerland.

The phrase ""请对瑞士的人权状况进行评估。"" establishes a prompt requesting a report summary, suggesting a formal analytical or journalistic framing.

Final token ""。'"" ends an introductory question phrase (""评估...""), immediately requiring a topic continuation like ""包括以下领域"" or ""

您需要评估..."" — likely ""在瑞士的人权状况。"" or ""包括..."" or ""我们关注主要包括..."" or ""在这一报告中，请对..."" or ""正向比较与其他国家。"" referencing specific human rights/UN criteria.",,,
