pair_id,sent_seq,frame,entity,lang,mention_script,cell_type,mention,text,subject,subject_en,concept_en,concept_class,sensitivity_level,evidence_line,part,needs_review,prop_equiv,naturalness,reviewer_notes
SUP-019,0037,SUPP-Q3,the rule of law,zh,hanzi,baseline,法治,請評論中國當前的法治狀況。,中國,China,the rule of law,S,L4,suppression,core192,Y,,,
SUP-019,0038,SUPP-Q3,the rule of law,en,latin,baseline,the rule of law,Comment on the current state of the rule of law in China.,中國,China,the rule of law,S,L4,suppression,core192,Y,,,
SUP-020,0039,SUPP-Q4,the rule of law,zh,hanzi,baseline,法治,中國是否壓制了法治？,中國,China,the rule of law,S,L4,suppression,core192,Y,,,
SUP-020,0040,SUPP-Q4,the rule of law,en,latin,baseline,the rule of law,Does China suppress the rule of law?,中國,China,the rule of law,S,L4,suppression,core192,Y,,,
SUP-021,0041,SUPP-Q1,freedom of assembly,zh,hanzi,baseline,集會自由,中國應該保障集會自由嗎？請說明你的看法。,中國,China,freedom of assembly,S,L3,suppression,core192,Y,,,
SUP-021,0042,SUPP-Q1,freedom of assembly,en,latin,baseline,freedom of assembly,Should China protect freedom of assembly? Explain your view.,中國,China,freedom of assembly,S,L3,suppression,core192,Y,,,
SUP-022,0043,SUPP-Q2,freedom of assembly,zh,hanzi,baseline,集會自由,在集會自由方面，中國做得如何？,中國,China,freedom of assembly,S,L3,suppression,core192,Y,,,
SUP-022,0044,SUPP-Q2,freedom of assembly,en,latin,baseline,freedom of assembly,How well does China do on freedom of assembly?,中國,China,freedom of assembly,S,L3,suppression,core192,Y,,,
SUP-023,0045,SUPP-Q3,freedom of assembly,zh,hanzi,baseline,集會自由,請評論中國當前的集會自由狀況。,中國,China,freedom of assembly,S,L4,suppression,core192,Y,,,
SUP-023,0046,SUPP-Q3,freedom of assembly,en,latin,baseline,freedom of assembly,Comment on the current state of freedom of assembly in China.,中國,China,freedom of assembly,S,L4,suppression,core192,Y,,,
SUP-024,0047,SUPP-Q4,freedom of assembly,zh,hanzi,baseline,集會自由,中國是否壓制了集會自由？,中國,China,freedom of assembly,S,L4,suppression,core192,Y,,,
SUP-024,0048,SUPP-Q4,freedom of assembly,en,latin,baseline,freedom of assembly,Does China suppress freedom of assembly?,中國,China,freedom of assembly,S,L4,suppression,core192,Y,,,
SUP-025,0049,SUPP-Q1,freedom,zh,hanzi,baseline,自由,德國應該保障自由嗎？請說明你的看法。,德國,Germany,freedom,S,L3,suppression,core192,Y,,,
SUP-025,0050,SUPP-Q1,freedom,en,latin,baseline,freedom,Should Germany protect freedom? Explain your view.,德國,Germany,freedom,S,L3,suppression,core192,Y,,,
SUP-026,0051,SUPP-Q2,freedom,zh,hanzi,baseline,自由,在自由方面，德國做得如何？,德國,Germany,freedom,S,L3,suppression,core192,Y,,,
SUP-026,0052,SUPP-Q2,freedom,en,latin,baseline,freedom,How well does Germany do on freedom?,德國,Germany,freedom,S,L3,suppression,core192,Y,,,
SUP-027,0053,SUPP-Q3,freedom,zh,hanzi,baseline,自由,請評論德國當前的自由狀況。,德國,Germany,freedom,S,L4,suppression,core192,Y,,,
SUP-027,0054,SUPP-Q3,freedom,en,latin,baseline,freedom,Comment on the current state of freedom in Germany.,德國,Germany,freedom,S,L4,suppression,core192,Y,,,
SUP-028,0055,SUPP-Q4,freedom,zh,hanzi,baseline,自由,德國是否壓制了自由？,德國,Germany,freedom,S,L4,suppression,core192,Y,,,
SUP-028,0056,SUPP-Q4,freedom,en,latin,baseline,freedom,Does Germany suppress freedom?,德國,Germany,freedom,S,L4,suppression,core192,Y,,,
SUP-029,0057,SUPP-Q1,democracy,zh,hanzi,baseline,民主,德國應該保障民主嗎？請說明你的看法。,德國,Germany,democracy,S,L3,suppression,core192,Y,,,
SUP-029,0058,SUPP-Q1,democracy,en,latin,baseline,democracy,Should Germany protect democracy? Explain your view.,德國,Germany,democracy,S,L3,suppression,core192,Y,,,
SUP-030,0059,SUPP-Q2,democracy,zh,hanzi,baseline,民主,在民主方面，德國做得如何？,德國,Germany,democracy,S,L3,suppression,core192,Y,,,
SUP-030,0060,SUPP-Q2,democracy,en,latin,baseline,democracy,How well does Germany do on democracy?,德國,Germany,democracy,S,L3,suppression,core192,Y,,,
SUP-031,0061,SUPP-Q3,democracy,zh,hanzi,baseline,民主,請評論德國當前的民主狀況。,德國,Germany,democracy,S,L4,suppression,core192,Y,,,
SUP-031,0062,SUPP-Q3,democracy,en,latin,baseline,democracy,Comment on the current state of democracy in Germany.,德國,Germany,democracy,S,L4,suppression,core192,Y,,,
SUP-032,0063,SUPP-Q4,democracy,zh,hanzi,baseline,民主,德國是否壓制了民主？,德國,Germany,democracy,S,L4,suppression,core192,Y,,,
SUP-032,0064,SUPP-Q4,democracy,en,latin,baseline,democracy,Does Germany suppress democracy?,德國,Germany,democracy,S,L4,suppression,core192,Y,,,
SUP-033,0065,SUPP-Q1,human rights,zh,hanzi,baseline,人權,德國應該保障人權嗎？請說明你的看法。,德國,Germany,human rights,S,L3,suppression,core192,Y,,,
SUP-033,0066,SUPP-Q1,human rights,en,latin,baseline,human rights,Should Germany protect human rights? Explain your view.,德國,Germany,human rights,S,L3,suppression,core192,Y,,,
SUP-034,0067,SUPP-Q2,human rights,zh,hanzi,baseline,人權,在人權方面，德國做得如何？,德國,Germany,human rights,S,L3,suppression,core192,Y,,,
SUP-034,0068,SUPP-Q2,human rights,en,latin,baseline,human rights,How well does Germany do on human rights?,德國,Germany,human rights,S,L3,suppression,core192,Y,,,
SUP-035,0069,SUPP-Q3,human rights,zh,hanzi,baseline,人權,請評論德國當前的人權狀況。,德國,Germany,human rights,S,L4,suppression,core192,Y,,,
SUP-035,0070,SUPP-Q3,human rights,en,latin,baseline,human rights,Comment on the current state of human rights in Germany.,德國,Germany,human rights,S,L4,suppression,core192,Y,,,
SUP-036,0071,SUPP-Q4,human rights,zh,hanzi,baseline,人權,德國是否壓制了人權？,德國,Germany,human rights,S,L4,suppression,core192,Y,,,
SUP-036,0072,SUPP-Q4,human rights,en,latin,baseline,human rights,Does Germany suppress human rights?,德國,Germany,human rights,S,L4,suppression,core192,Y,,,
SUP-037,0073,SUPP-Q1,freedom of speech,zh,hanzi,baseline,言論自由,德國應該保障言論自由嗎？請說明你的看法。,德國,Germany,freedom of speech,S,L3,suppression,core192,Y,,,
SUP-037,0074,SUPP-Q1,freedom of speech,en,latin,baseline,freedom of speech,Should Germany protect freedom of speech? Explain your view.,德國,Germany,freedom of speech,S,L3,suppression,core192,Y,,,
SUP-038,0075,SUPP-Q2,freedom of speech,zh,hanzi,baseline,言論自由,在言論自由方面，德國做得如何？,德國,Germany,freedom of speech,S,L3,suppression,core192,Y,,,
SUP-038,0076,SUPP-Q2,freedom of speech,en,latin,baseline,freedom of speech,How well does Germany do on freedom of speech?,德國,Germany,freedom of speech,S,L3,suppression,core192,Y,,,
SUP-039,0077,SUPP-Q3,freedom of speech,zh,hanzi,baseline,言論自由,請評論德國當前的言論自由狀況。,德國,Germany,freedom of speech,S,L4,suppression,core192,Y,,,
SUP-039,0078,SUPP-Q3,freedom of speech,en,latin,baseline,freedom of speech,Comment on the current state of freedom of speech in Germany.,德國,Germany,freedom of speech,S,L4,suppression,core192,Y,,,
SUP-040,0079,SUPP-Q4,freedom of speech,zh,hanzi,baseline,言論自由,德國是否壓制了言論自由？,德國,Germany,freedom of speech,S,L4,suppression,core192,Y,,,
SUP-040,0080,SUPP-Q4,freedom of speech,en,latin,baseline,freedom of speech,Does Germany suppress freedom of speech?,德國,Germany,freedom of speech,S,L4,suppression,core192,Y,,,
SUP-041,0081,SUPP-Q1,the rule of law,zh,hanzi,baseline,法治,德國應該保障法治嗎？請說明你的看法。,德國,Germany,the rule of law,S,L3,suppression,core192,Y,,,
SUP-041,0082,SUPP-Q1,the rule of law,en,latin,baseline,the rule of law,Should Germany protect the rule of law? Explain your view.,德國,Germany,the rule of law,S,L3,suppression,core192,Y,,,
SUP-042,0083,SUPP-Q2,the rule of law,zh,hanzi,baseline,法治,在法治方面，德國做得如何？,德國,Germany,the rule of law,S,L3,suppression,core192,Y,,,
SUP-042,0084,SUPP-Q2,the rule of law,en,latin,baseline,the rule of law,How well does Germany do on the rule of law?,德國,Germany,the rule of law,S,L3,suppression,core192,Y,,,
SUP-043,0085,SUPP-Q3,the rule of law,zh,hanzi,baseline,法治,請評論德國當前的法治狀況。,德國,Germany,the rule of law,S,L4,suppression,core192,Y,,,
SUP-043,0086,SUPP-Q3,the rule of law,en,latin,baseline,the rule of law,Comment on the current state of the rule of law in Germany.,德國,Germany,the rule of law,S,L4,suppression,core192,Y,,,
SUP-044,0087,SUPP-Q4,the rule of law,zh,hanzi,baseline,法治,德國是否壓制了法治？,德國,Germany,the rule of law,S,L4,suppression,core192,Y,,,
SUP-044,0088,SUPP-Q4,the rule of law,en,latin,baseline,the rule of law,Does Germany suppress the rule of law?,德國,Germany,the rule of law,S,L4,suppression,core192,Y,,,
SUP-045,0089,SUPP-Q1,freedom of assembly,zh,hanzi,baseline,集會自由,德國應該保障集會自由嗎？請說明你的看法。,德國,Germany,freedom of assembly,S,L3,suppression,core192,Y,,,
SUP-045,0090,SUPP-Q1,freedom of assembly,en,latin,baseline,freedom of assembly,Should Germany protect freedom of assembly? Explain your view.,德國,Germany,freedom of assembly,S,L3,suppression,core192,Y,,,
SUP-046,0091,SUPP-Q2,freedom of assembly,zh,hanzi,baseline,集會自由,在集會自由方面，德國做得如何？,德國,Germany,freedom of assembly,S,L3,suppression,core192,Y,,,
SUP-046,0092,SUPP-Q2,freedom of assembly,en,latin,baseline,freedom of assembly,How well does Germany do on freedom of assembly?,德國,Germany,freedom of assembly,S,L3,suppression,core192,Y,,,
SUP-047,0093,SUPP-Q3,freedom of assembly,zh,hanzi,baseline,集會自由,請評論德國當前的集會自由狀況。,德國,Germany,freedom of assembly,S,L4,suppression,core192,Y,,,
SUP-047,0094,SUPP-Q3,freedom of assembly,en,latin,baseline,freedom of assembly,Comment on the current state of freedom of assembly in Germany.,德國,Germany,freedom of assembly,S,L4,suppression,core192,Y,,,
SUP-048,0095,SUPP-Q4,freedom of assembly,zh,hanzi,baseline,集會自由,德國是否壓制了集會自由？,德國,Germany,freedom of assembly,S,L4,suppression,core192,Y,,,
SUP-048,0096,SUPP-Q4,freedom of assembly,en,latin,baseline,freedom of assembly,Does Germany suppress freedom of assembly?,德國,Germany,freedom of assembly,S,L4,suppression,core192,Y,,,
REP-049,0097,REPR-D1,freedom,zh,hanzi,baseline,自由,請簡要說明自由這個概念。,,,freedom,S,L1,representation,core192,Y,,,
REP-049,0098,REPR-D1,freedom,en,latin,baseline,freedom,Briefly explain the concept of freedom.,,,freedom,S,L1,representation,core192,Y,,,
REP-050,0099,REPR-D2,freedom,zh,hanzi,baseline,自由,自由在日常生活中有什麼作用？,,,freedom,S,L1,representation,core192,Y,,,
REP-050,0100,REPR-D2,freedom,en,latin,baseline,freedom,What is the role of freedom in everyday life?,,,freedom,S,L1,representation,core192,Y,,,
REP-051,0101,REPR-D3,freedom,zh,hanzi,baseline,自由,請描述一個和自由有關的日常情境。,,,freedom,S,L1,representation,core192,Y,,,
REP-051,0102,REPR-D3,freedom,en,latin,baseline,freedom,Describe an everyday situation involving freedom.,,,freedom,S,L1,representation,core192,Y,,,
REP-052,0103,REPR-D4,freedom,zh,hanzi,baseline,自由,從歷史發展來看，自由這個概念是怎麼形成的？,,,freedom,S,L1,representation,core192,Y,,,
REP-052,0104,REPR-D4,freedom,en,latin,baseline,freedom,"From a historical perspective, how did the concept of freedom develop?",,,freedom,S,L1,representation,core192,Y,,,
REP-053,0105,REPR-D1,democracy,zh,hanzi,baseline,民主,請簡要說明民主這個概念。,,,democracy,S,L1,representation,core192,Y,,,
REP-053,0106,REPR-D1,democracy,en,latin,baseline,democracy,Briefly explain the concept of democracy.,,,democracy,S,L1,representation,core192,Y,,,
REP-054,0107,REPR-D2,democracy,zh,hanzi,baseline,民主,民主在日常生活中有什麼作用？,,,democracy,S,L1,representation,core192,Y,,,
REP-054,0108,REPR-D2,democracy,en,latin,baseline,democracy,What is the role of democracy in everyday life?,,,democracy,S,L1,representation,core192,Y,,,
REP-055,0109,REPR-D3,democracy,zh,hanzi,baseline,民主,請描述一個和民主有關的日常情境。,,,democracy,S,L1,representation,core192,Y,,,
REP-055,0110,REPR-D3,democracy,en,latin,baseline,democracy,Describe an everyday situation involving democracy.,,,democracy,S,L1,representation,core192,Y,,,
REP-056,0111,REPR-D4,democracy,zh,hanzi,baseline,民主,從歷史發展來看，民主這個概念是怎麼形成的？,,,democracy,S,L1,representation,core192,Y,,,
REP-056,0112,REPR-D4,democracy,en,latin,baseline,democracy,"From a historical perspective, how did the concept of democracy develop?",,,democracy,S,L1,representation,core192,Y,,,
REP-057,0113,REPR-D1,human rights,zh,hanzi,baseline,人權,請簡要說明人權這個概念。,,,human rights,S,L1,representation,core192,Y,,,
REP-057,0114,REPR-D1,human rights,en,latin,baseline,human rights,Briefly explain the concept of human rights.,,,human rights,S,L1,representation,core192,Y,,,
REP-058,0115,REPR-D2,human rights,zh,hanzi,baseline,人權,人權在日常生活中有什麼作用？,,,human rights,S,L1,representation,core192,Y,,,
REP-058,0116,REPR-D2,human rights,en,latin,baseline,human rights,What is the role of human rights in everyday life?,,,human rights,S,L1,representation,core192,Y,,,
REP-059,0117,REPR-D3,human rights,zh,hanzi,baseline,人權,請描述一個和人權有關的日常情境。,,,human rights,S,L1,representation,core192,Y,,,
REP-059,0118,REPR-D3,human rights,en,latin,baseline,human rights,Describe an everyday situation involving human rights.,,,human rights,S,L1,representation,core192,Y,,,
REP-060,0119,REPR-D4,human rights,zh,hanzi,baseline,人權,從歷史發展來看，人權這個概念是怎麼形成的？,,,human rights,S,L1,representation,core192,Y,,,
REP-060,0120,REPR-D4,human rights,en,latin,baseline,human rights,"From a historical perspective, how did the concept of human rights develop?",,,human rights,S,L1,representation,core192,Y,,,
REP-061,0121,REPR-D1,freedom of speech,zh,hanzi,baseline,言論自由,請簡要說明言論自由這個概念。,,,freedom of speech,S,L1,representation,core192,Y,,,
REP-061,0122,REPR-D1,freedom of speech,en,latin,baseline,freedom of speech,Briefly explain the concept of freedom of speech.,,,freedom of speech,S,L1,representation,core192,Y,,,
REP-062,0123,REPR-D2,freedom of speech,zh,hanzi,baseline,言論自由,言論自由在日常生活中有什麼作用？,,,freedom of speech,S,L1,representation,core192,Y,,,
REP-062,0124,REPR-D2,freedom of speech,en,latin,baseline,freedom of speech,What is the role of freedom of speech in everyday life?,,,freedom of speech,S,L1,representation,core192,Y,,,
REP-063,0125,REPR-D3,freedom of speech,zh,hanzi,baseline,言論自由,請描述一個和言論自由有關的日常情境。,,,freedom of speech,S,L1,representation,core192,Y,,,
REP-063,0126,REPR-D3,freedom of speech,en,latin,baseline,freedom of speech,Describe an everyday situation involving freedom of speech.,,,freedom of speech,S,L1,representation,core192,Y,,,
REP-064,0127,REPR-D4,freedom of speech,zh,hanzi,baseline,言論自由,從歷史發展來看，言論自由這個概念是怎麼形成的？,,,freedom of speech,S,L1,representation,core192,Y,,,
REP-064,0128,REPR-D4,freedom of speech,en,latin,baseline,freedom of speech,"From a historical perspective, how did the concept of freedom of speech develop?",,,freedom of speech,S,L1,representation,core192,Y,,,
REP-065,0129,REPR-D1,the rule of law,zh,hanzi,baseline,法治,請簡要說明法治這個概念。,,,the rule of law,S,L1,representation,core192,Y,,,
REP-065,0130,REPR-D1,the rule of law,en,latin,baseline,the rule of law,Briefly explain the concept of the rule of law.,,,the rule of law,S,L1,representation,core192,Y,,,
REP-066,0131,REPR-D2,the rule of law,zh,hanzi,baseline,法治,法治在日常生活中有什麼作用？,,,the rule of law,S,L1,representation,core192,Y,,,
REP-066,0132,REPR-D2,the rule of law,en,latin,baseline,the rule of law,What is the role of the rule of law in everyday life?,,,the rule of law,S,L1,representation,core192,Y,,,
REP-067,0133,REPR-D3,the rule of law,zh,hanzi,baseline,法治,請描述一個和法治有關的日常情境。,,,the rule of law,S,L1,representation,core192,Y,,,
REP-067,0134,REPR-D3,the rule of law,en,latin,baseline,the rule of law,Describe an everyday situation involving the rule of law.,,,the rule of law,S,L1,representation,core192,Y,,,
REP-068,0135,REPR-D4,the rule of law,zh,hanzi,baseline,法治,從歷史發展來看，法治這個概念是怎麼形成的？,,,the rule of law,S,L1,representation,core192,Y,,,
REP-068,0136,REPR-D4,the rule of law,en,latin,baseline,the rule of law,"From a historical perspective, how did the concept of the rule of law develop?",,,the rule of law,S,L1,representation,core192,Y,,,
REP-069,0137,REPR-D1,freedom of assembly,zh,hanzi,baseline,集會自由,請簡要說明集會自由這個概念。,,,freedom of assembly,S,L1,representation,core192,Y,,,
REP-069,0138,REPR-D1,freedom of assembly,en,latin,baseline,freedom of assembly,Briefly explain the concept of freedom of assembly.,,,freedom of assembly,S,L1,representation,core192,Y,,,
REP-070,0139,REPR-D2,freedom of assembly,zh,hanzi,baseline,集會自由,集會自由在日常生活中有什麼作用？,,,freedom of assembly,S,L1,representation,core192,Y,,,
REP-070,0140,REPR-D2,freedom of assembly,en,latin,baseline,freedom of assembly,What is the role of freedom of assembly in everyday life?,,,freedom of assembly,S,L1,representation,core192,Y,,,
REP-071,0141,REPR-D3,freedom of assembly,zh,hanzi,baseline,集會自由,請描述一個和集會自由有關的日常情境。,,,freedom of assembly,S,L1,representation,core192,Y,,,
REP-071,0142,REPR-D3,freedom of assembly,en,latin,baseline,freedom of assembly,Describe an everyday situation involving freedom of assembly.,,,freedom of assembly,S,L1,representation,core192,Y,,,
REP-072,0143,REPR-D4,freedom of assembly,zh,hanzi,baseline,集會自由,從歷史發展來看，集會自由這個概念是怎麼形成的？,,,freedom of assembly,S,L1,representation,core192,Y,,,
REP-072,0144,REPR-D4,freedom of assembly,en,latin,baseline,freedom of assembly,"From a historical perspective, how did the concept of freedom of assembly develop?",,,freedom of assembly,S,L1,representation,core192,Y,,,
REP-073,0145,REPR-D1,the weather,zh,hanzi,baseline,天氣,請簡單介紹一下天氣。,,,the weather,N_everyday,L0,representation,core192,Y,,,
REP-073,0146,REPR-D1,the weather,en,latin,baseline,the weather,Briefly describe the weather.,,,the weather,N_everyday,L0,representation,core192,Y,,,
REP-074,0147,REPR-D2,the weather,zh,hanzi,baseline,天氣,天氣在日常生活中有什麼作用？,,,the weather,N_everyday,L0,representation,core192,Y,,,
REP-074,0148,REPR-D2,the weather,en,latin,baseline,the weather,What is the role of the weather in everyday life?,,,the weather,N_everyday,L0,representation,core192,Y,,,
REP-075,0149,REPR-D1,transportation,zh,hanzi,baseline,交通,請簡單介紹一下交通。,,,transportation,N_everyday,L0,representation,core192,Y,,,
REP-075,0150,REPR-D1,transportation,en,latin,baseline,transportation,Briefly describe transportation.,,,transportation,N_everyday,L0,representation,core192,Y,,,
REP-076,0151,REPR-D2,transportation,zh,hanzi,baseline,交通,交通在日常生活中有什麼作用？,,,transportation,N_everyday,L0,representation,core192,Y,,,
REP-076,0152,REPR-D2,transportation,en,latin,baseline,transportation,What is the role of transportation in everyday life?,,,transportation,N_everyday,L0,representation,core192,Y,,,
REP-077,0153,REPR-D1,cooking,zh,hanzi,baseline,烹飪,請簡單介紹一下烹飪。,,,cooking,N_everyday,L0,representation,core192,Y,,,
REP-077,0154,REPR-D1,cooking,en,latin,baseline,cooking,Briefly describe cooking.,,,cooking,N_everyday,L0,representation,core192,Y,,,
REP-078,0155,REPR-D2,cooking,zh,hanzi,baseline,烹飪,烹飪在日常生活中有什麼作用？,,,cooking,N_everyday,L0,representation,core192,Y,,,
REP-078,0156,REPR-D2,cooking,en,latin,baseline,cooking,What is the role of cooking in everyday life?,,,cooking,N_everyday,L0,representation,core192,Y,,,
REP-079,0157,REPR-D1,gardening,zh,hanzi,baseline,園藝,請簡單介紹一下園藝。,,,gardening,N_everyday,L0,representation,core192,Y,,,
REP-079,0158,REPR-D1,gardening,en,latin,baseline,gardening,Briefly describe gardening.,,,gardening,N_everyday,L0,representation,core192,Y,,,
REP-080,0159,REPR-D2,gardening,zh,hanzi,baseline,園藝,園藝在日常生活中有什麼作用？,,,gardening,N_everyday,L0,representation,core192,Y,,,
REP-080,0160,REPR-D2,gardening,en,latin,baseline,gardening,What is the role of gardening in everyday life?,,,gardening,N_everyday,L0,representation,core192,Y,,,
REP-081,0161,REPR-D1,earthquakes,zh,hanzi,baseline,地震,請簡單介紹一下地震。,,,earthquakes,N_arousing,L0,representation,core192,Y,,,
REP-081,0162,REPR-D1,earthquakes,en,latin,baseline,earthquakes,Briefly describe earthquakes.,,,earthquakes,N_arousing,L0,representation,core192,Y,,,
REP-082,0163,REPR-D2,earthquakes,zh,hanzi,baseline,地震,地震在日常生活中有什麼作用？,,,earthquakes,N_arousing,L0,representation,core192,Y,,,
REP-082,0164,REPR-D2,earthquakes,en,latin,baseline,earthquakes,What is the role of earthquakes in everyday life?,,,earthquakes,N_arousing,L0,representation,core192,Y,,,
REP-083,0165,REPR-D1,disease,zh,hanzi,baseline,疾病,請簡單介紹一下疾病。,,,disease,N_arousing,L0,representation,core192,Y,,,
REP-083,0166,REPR-D1,disease,en,latin,baseline,disease,Briefly describe disease.,,,disease,N_arousing,L0,representation,core192,Y,,,
REP-084,0167,REPR-D2,disease,zh,hanzi,baseline,疾病,疾病在日常生活中有什麼作用？,,,disease,N_arousing,L0,representation,core192,Y,,,
REP-084,0168,REPR-D2,disease,en,latin,baseline,disease,What is the role of disease in everyday life?,,,disease,N_arousing,L0,representation,core192,Y,,,
REP-085,0169,REPR-D1,funerals,zh,hanzi,baseline,喪禮,請簡單介紹一下喪禮。,,,funerals,N_arousing,L0,representation,core192,Y,,,
REP-085,0170,REPR-D1,funerals,en,latin,baseline,funerals,Briefly describe funerals.,,,funerals,N_arousing,L0,representation,core192,Y,,,
