pair_id,frame,zh_tokens,en_tokens,gap,within_20pct
REP-063,C3,19,20,0.05,True
REP-064,C4,21,22,0.045,True
REP-065,C5,20,20,0.0,True
REP-066,C6,23,21,0.087,True
REP-067,C1,24,26,0.077,True
REP-068,C2,18,17,0.056,True
REP-069,C3,19,20,0.05,True
REP-070,C4,21,22,0.045,True
REP-071,C5,20,20,0.0,True
REP-072,C6,23,21,0.087,True
REP-073,C1,25,26,0.038,True
REP-074,C2,19,17,0.105,True
REP-075,C3,20,20,0.0,True
REP-076,C4,22,22,0.0,True
REP-077,C5,21,20,0.048,True
REP-078,C6,24,21,0.125,True
REP-079,C1,24,26,0.077,True
REP-080,C2,18,17,0.056,True
REP-081,C3,19,20,0.05,True
REP-082,C4,21,22,0.045,True
REP-083,C5,20,20,0.0,True
REP-084,C6,23,21,0.087,True
SUP-085,Q1,11,10,0.091,True
SUP-086,Q2,10,8,0.2,True
SUP-087,Q3,8,11,0.273,False
SUP-088,Q4,6,5,0.167,True
SUP-089,Q1,11,10,0.091,True
SUP-090,Q2,10,8,0.2,True
SUP-091,Q3,8,11,0.273,False
SUP-092,Q4,6,5,0.167,True
SUP-093,Q1,12,11,0.083,True
SUP-094,Q2,11,9,0.182,True
SUP-095,Q3,9,12,0.25,False
SUP-096,Q4,7,6,0.143,True
SUP-097,Q1,13,12,0.077,True
SUP-098,Q2,12,10,0.167,True
SUP-099,Q3,10,13,0.231,False
SUP-100,Q4,8,7,0.125,True
SUP-101,Q1,12,13,0.077,True
SUP-102,Q2,11,11,0.0,True
SUP-103,Q3,9,14,0.357,False
SUP-104,Q4,7,8,0.125,True
SUP-105,Q1,13,12,0.077,True
SUP-106,Q2,12,10,0.167,True
SUP-107,Q3,10,13,0.231,False
SUP-108,Q4,8,7,0.125,True
SUP-109,Q1,11,10,0.091,True
SUP-110,Q2,10,8,0.2,True
SUP-111,Q3,8,11,0.273,False
SUP-112,Q4,6,5,0.167,True
SUP-113,Q1,11,10,0.091,True
SUP-114,Q2,10,8,0.2,True
SUP-115,Q3,8,11,0.273,False
SUP-116,Q4,6,5,0.167,True
SUP-117,Q1,12,11,0.083,True
SUP-118,Q2,11,9,0.182,True
SUP-119,Q3,9,12,0.25,False
SUP-120,Q4,7,6,0.143,True
SUP-121,Q1,13,12,0.077,True
SUP-122,Q2,12,10,0.167,True
SUP-123,Q3,10,13,0.231,False
SUP-124,Q4,8,7,0.125,True
SUP-125,Q1,12,13,0.077,True
SUP-126,Q2,11,11,0.0,True
SUP-127,Q3,9,14,0.357,False
SUP-128,Q4,7,8,0.125,True
SUP-129,Q1,13,12,0.077,True
SUP-130,Q2,12,10,0.167,True
SUP-131,Q3,10,13,0.231,False
SUP-132,Q4,8,7,0.125,True
SUP-133,Q1,11,12,0.083,True
SUP-134,Q2,10,10,0.0,True
SUP-135,Q3,8,13,0.385,False
SUP-136,Q4,6,7,0.143,True
SUP-137,Q1,11,12,0.083,True
SUP-138,Q2,10,10,0.0,True
SUP-139,Q3,8,13,0.385,False
SUP-140,Q4,6,7,0.143,True
SUP-141,Q1,12,13,0.077,True
SUP-142,Q2,11,11,0.0,True
SUP-143,Q3,9,14,0.357,False
SUP-144,Q4,7,8,0.125,True
SUP-145,Q1,13,14,0.071,True
SUP-146,Q2,12,12,0.0,True
SUP-147,Q3,10,15,0.333,False
SUP-148,Q4,8,9,0.111,True
SUP-149,Q1,12,15,0.2,True
SUP-150,Q2,11,13,0.154,True
SUP-151,Q3,9,16,0.438,False
SUP-152,Q4,7,10,0.3,False
SUP-153,Q1,13,14,0.071,True
SUP-154,Q2,12,12,0.0,True
SUP-155,Q3,10,15,0.333,False
SUP-156,Q4,8,9,0.111,True
SUP-157,Q1,11,10,0.091,True
SUP-158,Q2,10,8,0.2,True
SUP-159,Q3,8,11,0.273,False
SUP-160,Q4,6,5,0.167,True
SUP-161,Q1,11,10,0.091,True
SUP-162,Q2,10,8,0.2,True
SUP-163,Q3,8,11,0.273,False
SUP-164,Q4,6,5,0.167,True
SUP-165,Q1,12,11,0.083,True
SUP-166,Q2,11,9,0.182,True
SUP-167,Q3,9,12,0.25,False
SUP-168,Q4,7,6,0.143,True
SUP-169,Q1,13,12,0.077,True
SUP-170,Q2,12,10,0.167,True
SUP-171,Q3,10,13,0.231,False
SUP-172,Q4,8,7,0.125,True
SUP-173,Q1,12,13,0.077,True
SUP-174,Q2,11,11,0.0,True
SUP-175,Q3,9,14,0.357,False
SUP-176,Q4,7,8,0.125,True
SUP-177,Q1,13,12,0.077,True
SUP-178,Q2,12,10,0.167,True
SUP-179,Q3,10,13,0.231,False
SUP-180,Q4,8,7,0.125,True
