desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
REP-001|en|latin#2#siteB#k1,REP-001|en|latin#2#siteB,1,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.006732,0.996634,en,769
REP-001|en|latin#2#siteB#k2,REP-001|en|latin#2#siteB,2,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.006632,0.996685,en,774
REP-001|en|latin#2#siteB#k3,REP-001|en|latin#2#siteB,3,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.007064,0.996468,en,772
REP-001|en|latin#2#siteB#k4,REP-001|en|latin#2#siteB,4,REP-001|en|latin#2,REP-001,C1,freedom,en,latin,baseline,B,0.006775,0.996612,en,762
REP-002|zh|hanzi#3#siteA#k0,REP-002|zh|hanzi#3#siteA,0,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.011209,0.994396,en,554
REP-002|zh|hanzi#3#siteA#k1,REP-002|zh|hanzi#3#siteA,1,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.012709,0.993645,en,574
REP-002|zh|hanzi#3#siteA#k2,REP-002|zh|hanzi#3#siteA,2,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.011239,0.994381,en,597
REP-002|zh|hanzi#3#siteA#k3,REP-002|zh|hanzi#3#siteA,3,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.011074,0.994463,en,519
REP-002|zh|hanzi#3#siteA#k4,REP-002|zh|hanzi#3#siteA,4,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,A,0.011652,0.994174,en,564
REP-002|zh|hanzi#3#siteB#k0,REP-002|zh|hanzi#3#siteB,0,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,B,0.011398,0.994301,mixed,509
REP-002|zh|hanzi#3#siteB#k1,REP-002|zh|hanzi#3#siteB,1,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,B,0.010696,0.994652,mixed,491
REP-002|zh|hanzi#3#siteB#k2,REP-002|zh|hanzi#3#siteB,2,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,B,0.010174,0.994913,mixed,538
REP-002|zh|hanzi#3#siteB#k3,REP-002|zh|hanzi#3#siteB,3,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,B,0.01161,0.994195,mixed,532
REP-002|zh|hanzi#3#siteB#k4,REP-002|zh|hanzi#3#siteB,4,REP-002|zh|hanzi#3,REP-002,C2,freedom,zh,hanzi,baseline,B,0.010117,0.994941,mixed,545
REP-002|en|latin#4#siteA#k0,REP-002|en|latin#4#siteA,0,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,A,0.01129,0.994355,en,665
REP-002|en|latin#4#siteA#k1,REP-002|en|latin#4#siteA,1,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,A,0.011482,0.994259,en,708
REP-002|en|latin#4#siteA#k2,REP-002|en|latin#4#siteA,2,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,A,0.011502,0.994249,en,690
REP-002|en|latin#4#siteA#k3,REP-002|en|latin#4#siteA,3,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,A,0.012992,0.993504,en,695
REP-002|en|latin#4#siteA#k4,REP-002|en|latin#4#siteA,4,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,A,0.01102,0.99449,en,681
REP-002|en|latin#4#siteB#k0,REP-002|en|latin#4#siteB,0,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,B,0.009652,0.995174,en,718
REP-002|en|latin#4#siteB#k1,REP-002|en|latin#4#siteB,1,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,B,0.010412,0.994794,en,709
REP-002|en|latin#4#siteB#k2,REP-002|en|latin#4#siteB,2,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,B,0.009085,0.995458,en,742
REP-002|en|latin#4#siteB#k3,REP-002|en|latin#4#siteB,3,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,B,0.008682,0.995659,en,699
REP-002|en|latin#4#siteB#k4,REP-002|en|latin#4#siteB,4,REP-002|en|latin#4,REP-002,C2,freedom,en,latin,baseline,B,0.010276,0.994862,en,691
REP-003|zh|hanzi#5#siteA#k0,REP-003|zh|hanzi#5#siteA,0,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,A,0.012055,0.993972,en,582
REP-003|zh|hanzi#5#siteA#k1,REP-003|zh|hanzi#5#siteA,1,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,A,0.012349,0.993825,en,539
REP-003|zh|hanzi#5#siteA#k2,REP-003|zh|hanzi#5#siteA,2,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,A,0.011141,0.994429,en,524
REP-003|zh|hanzi#5#siteA#k3,REP-003|zh|hanzi#5#siteA,3,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,A,0.012694,0.993653,en,587
REP-003|zh|hanzi#5#siteA#k4,REP-003|zh|hanzi#5#siteA,4,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,A,0.010496,0.994752,en,578
REP-003|zh|hanzi#5#siteB#k0,REP-003|zh|hanzi#5#siteB,0,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,B,0.008169,0.995916,en,562
REP-003|zh|hanzi#5#siteB#k1,REP-003|zh|hanzi#5#siteB,1,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,B,0.007742,0.996129,en,567
REP-003|zh|hanzi#5#siteB#k2,REP-003|zh|hanzi#5#siteB,2,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,B,0.007461,0.996269,en,555
REP-003|zh|hanzi#5#siteB#k3,REP-003|zh|hanzi#5#siteB,3,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,B,0.007487,0.996256,mixed,544
REP-003|zh|hanzi#5#siteB#k4,REP-003|zh|hanzi#5#siteB,4,REP-003|zh|hanzi#5,REP-003,C3,freedom,zh,hanzi,baseline,B,0.007567,0.996216,en,574
REP-003|en|latin#6#siteA#k0,REP-003|en|latin#6#siteA,0,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,A,0.008526,0.995737,en,652
REP-003|en|latin#6#siteA#k1,REP-003|en|latin#6#siteA,1,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,A,0.009176,0.995412,en,681
REP-003|en|latin#6#siteA#k2,REP-003|en|latin#6#siteA,2,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,A,0.008884,0.995558,en,660
REP-003|en|latin#6#siteA#k3,REP-003|en|latin#6#siteA,3,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,A,0.009348,0.995326,en,683
REP-003|en|latin#6#siteA#k4,REP-003|en|latin#6#siteA,4,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,A,0.009311,0.995345,en,684
REP-003|en|latin#6#siteB#k0,REP-003|en|latin#6#siteB,0,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,B,0.006908,0.996546,en,704
REP-003|en|latin#6#siteB#k1,REP-003|en|latin#6#siteB,1,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,B,0.007332,0.996334,en,698
REP-003|en|latin#6#siteB#k2,REP-003|en|latin#6#siteB,2,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,B,0.006848,0.996576,en,734
REP-003|en|latin#6#siteB#k3,REP-003|en|latin#6#siteB,3,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,B,0.00714,0.99643,en,733
REP-003|en|latin#6#siteB#k4,REP-003|en|latin#6#siteB,4,REP-003|en|latin#6,REP-003,C3,freedom,en,latin,baseline,B,0.008035,0.995983,en,672
REP-004|zh|hanzi#7#siteA#k0,REP-004|zh|hanzi#7#siteA,0,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,A,0.011224,0.994388,en,549
REP-004|zh|hanzi#7#siteA#k1,REP-004|zh|hanzi#7#siteA,1,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,A,0.012382,0.993809,en,585
REP-004|zh|hanzi#7#siteA#k2,REP-004|zh|hanzi#7#siteA,2,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,A,0.012021,0.99399,en,571
REP-004|zh|hanzi#7#siteA#k3,REP-004|zh|hanzi#7#siteA,3,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,A,0.012137,0.993932,en,561
REP-004|zh|hanzi#7#siteA#k4,REP-004|zh|hanzi#7#siteA,4,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,A,0.012212,0.993895,en,556
REP-004|zh|hanzi#7#siteB#k0,REP-004|zh|hanzi#7#siteB,0,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,B,0.007323,0.996339,en,605
REP-004|zh|hanzi#7#siteB#k1,REP-004|zh|hanzi#7#siteB,1,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,B,0.007294,0.996353,en,576
REP-004|zh|hanzi#7#siteB#k2,REP-004|zh|hanzi#7#siteB,2,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,B,0.007314,0.996343,en,561
REP-004|zh|hanzi#7#siteB#k3,REP-004|zh|hanzi#7#siteB,3,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,B,0.007991,0.996005,mixed,571
REP-004|zh|hanzi#7#siteB#k4,REP-004|zh|hanzi#7#siteB,4,REP-004|zh|hanzi#7,REP-004,C4,freedom,zh,hanzi,baseline,B,0.00715,0.996425,en,579
REP-004|en|latin#8#siteA#k0,REP-004|en|latin#8#siteA,0,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,A,0.00815,0.995925,en,677
REP-004|en|latin#8#siteA#k1,REP-004|en|latin#8#siteA,1,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,A,0.008646,0.995677,en,678
REP-004|en|latin#8#siteA#k2,REP-004|en|latin#8#siteA,2,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,A,0.008042,0.995979,en,677
REP-004|en|latin#8#siteA#k3,REP-004|en|latin#8#siteA,3,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,A,0.008744,0.995628,en,674
REP-004|en|latin#8#siteA#k4,REP-004|en|latin#8#siteA,4,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,A,0.008042,0.995979,en,687
REP-004|en|latin#8#siteB#k0,REP-004|en|latin#8#siteB,0,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,B,0.005743,0.997129,en,745
REP-004|en|latin#8#siteB#k1,REP-004|en|latin#8#siteB,1,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,B,0.006406,0.996798,en,703
REP-004|en|latin#8#siteB#k2,REP-004|en|latin#8#siteB,2,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,B,0.00597,0.997015,en,706
REP-004|en|latin#8#siteB#k3,REP-004|en|latin#8#siteB,3,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,B,0.005679,0.997161,en,715
REP-004|en|latin#8#siteB#k4,REP-004|en|latin#8#siteB,4,REP-004|en|latin#8,REP-004,C4,freedom,en,latin,baseline,B,0.007468,0.996267,en,693
REP-005|zh|hanzi#9#siteA#k0,REP-005|zh|hanzi#9#siteA,0,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,A,0.011015,0.994493,en,575
REP-005|zh|hanzi#9#siteA#k1,REP-005|zh|hanzi#9#siteA,1,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,A,0.009876,0.995062,en,582
REP-005|zh|hanzi#9#siteA#k2,REP-005|zh|hanzi#9#siteA,2,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,A,0.010954,0.994523,en,551
REP-005|zh|hanzi#9#siteA#k3,REP-005|zh|hanzi#9#siteA,3,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,A,0.009656,0.995172,en,601
REP-005|zh|hanzi#9#siteA#k4,REP-005|zh|hanzi#9#siteA,4,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,A,0.010842,0.994579,en,558
REP-005|zh|hanzi#9#siteB#k0,REP-005|zh|hanzi#9#siteB,0,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,B,0.008274,0.995863,mixed,495
REP-005|zh|hanzi#9#siteB#k1,REP-005|zh|hanzi#9#siteB,1,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,B,0.007353,0.996324,mixed,484
REP-005|zh|hanzi#9#siteB#k2,REP-005|zh|hanzi#9#siteB,2,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,B,0.00701,0.996495,mixed,539
REP-005|zh|hanzi#9#siteB#k3,REP-005|zh|hanzi#9#siteB,3,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,B,0.008144,0.995928,mixed,545
REP-005|zh|hanzi#9#siteB#k4,REP-005|zh|hanzi#9#siteB,4,REP-005|zh|hanzi#9,REP-005,C5,freedom,zh,hanzi,baseline,B,0.008255,0.995873,en,549
REP-005|en|latin#10#siteA#k0,REP-005|en|latin#10#siteA,0,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,A,0.008581,0.995709,en,712
REP-005|en|latin#10#siteA#k1,REP-005|en|latin#10#siteA,1,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,A,0.007703,0.996149,en,696
REP-005|en|latin#10#siteA#k2,REP-005|en|latin#10#siteA,2,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,A,0.007866,0.996067,en,726
REP-005|en|latin#10#siteA#k3,REP-005|en|latin#10#siteA,3,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,A,0.007985,0.996007,en,679
REP-005|en|latin#10#siteA#k4,REP-005|en|latin#10#siteA,4,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,A,0.008826,0.995587,en,716
REP-005|en|latin#10#siteB#k0,REP-005|en|latin#10#siteB,0,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,B,0.005453,0.997274,en,717
REP-005|en|latin#10#siteB#k1,REP-005|en|latin#10#siteB,1,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,B,0.00511,0.997445,en,712
REP-005|en|latin#10#siteB#k2,REP-005|en|latin#10#siteB,2,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,B,0.006591,0.996704,en,691
REP-005|en|latin#10#siteB#k3,REP-005|en|latin#10#siteB,3,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,B,0.005809,0.997095,en,695
REP-005|en|latin#10#siteB#k4,REP-005|en|latin#10#siteB,4,REP-005|en|latin#10,REP-005,C5,freedom,en,latin,baseline,B,0.006087,0.996957,en,719
REP-006|zh|hanzi#11#siteA#k0,REP-006|zh|hanzi#11#siteA,0,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,A,0.009861,0.995069,en,575
REP-006|zh|hanzi#11#siteA#k1,REP-006|zh|hanzi#11#siteA,1,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,A,0.009773,0.995114,en,558
REP-006|zh|hanzi#11#siteA#k2,REP-006|zh|hanzi#11#siteA,2,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,A,0.009808,0.995096,en,588
REP-006|zh|hanzi#11#siteA#k3,REP-006|zh|hanzi#11#siteA,3,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,A,0.009462,0.995269,en,542
REP-006|zh|hanzi#11#siteA#k4,REP-006|zh|hanzi#11#siteA,4,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,A,0.010213,0.994894,en,541
REP-006|zh|hanzi#11#siteB#k0,REP-006|zh|hanzi#11#siteB,0,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,B,0.007491,0.996255,mixed,513
REP-006|zh|hanzi#11#siteB#k1,REP-006|zh|hanzi#11#siteB,1,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,B,0.007352,0.996324,mixed,478
REP-006|zh|hanzi#11#siteB#k2,REP-006|zh|hanzi#11#siteB,2,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,B,0.008195,0.995902,mixed,511
REP-006|zh|hanzi#11#siteB#k3,REP-006|zh|hanzi#11#siteB,3,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,B,0.008847,0.995577,mixed,495
REP-006|zh|hanzi#11#siteB#k4,REP-006|zh|hanzi#11#siteB,4,REP-006|zh|hanzi#11,REP-006,C6,freedom,zh,hanzi,baseline,B,0.008371,0.995815,mixed,481
REP-006|en|latin#12#siteA#k0,REP-006|en|latin#12#siteA,0,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,A,0.007008,0.996496,en,693
REP-006|en|latin#12#siteA#k1,REP-006|en|latin#12#siteA,1,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,A,0.006316,0.996842,en,712
REP-006|en|latin#12#siteA#k2,REP-006|en|latin#12#siteA,2,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,A,0.00651,0.996745,en,721
REP-006|en|latin#12#siteA#k3,REP-006|en|latin#12#siteA,3,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,A,0.007063,0.996469,en,688
REP-006|en|latin#12#siteA#k4,REP-006|en|latin#12#siteA,4,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,A,0.006261,0.99687,en,725
REP-006|en|latin#12#siteB#k0,REP-006|en|latin#12#siteB,0,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,B,0.007201,0.996399,en,691
REP-006|en|latin#12#siteB#k1,REP-006|en|latin#12#siteB,1,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,B,0.007,0.9965,en,691
REP-006|en|latin#12#siteB#k2,REP-006|en|latin#12#siteB,2,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,B,0.007085,0.996457,en,707
REP-006|en|latin#12#siteB#k3,REP-006|en|latin#12#siteB,3,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,B,0.007752,0.996124,en,710
REP-006|en|latin#12#siteB#k4,REP-006|en|latin#12#siteB,4,REP-006|en|latin#12,REP-006,C6,freedom,en,latin,baseline,B,0.007314,0.996343,en,675
REP-007|zh|hanzi#13#siteA#k0,REP-007|zh|hanzi#13#siteA,0,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,A,0.00785,0.996075,en,599
REP-007|zh|hanzi#13#siteA#k1,REP-007|zh|hanzi#13#siteA,1,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,A,0.007893,0.996054,en,649
REP-007|zh|hanzi#13#siteA#k2,REP-007|zh|hanzi#13#siteA,2,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,A,0.008694,0.995653,en,578
REP-007|zh|hanzi#13#siteA#k3,REP-007|zh|hanzi#13#siteA,3,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,A,0.008828,0.995586,en,602
REP-007|zh|hanzi#13#siteA#k4,REP-007|zh|hanzi#13#siteA,4,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,A,0.008367,0.995817,en,562
REP-007|zh|hanzi#13#siteB#k0,REP-007|zh|hanzi#13#siteB,0,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,B,0.007821,0.996089,mixed,539
REP-007|zh|hanzi#13#siteB#k1,REP-007|zh|hanzi#13#siteB,1,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,B,0.007694,0.996153,mixed,524
REP-007|zh|hanzi#13#siteB#k2,REP-007|zh|hanzi#13#siteB,2,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,B,0.007198,0.996401,mixed,523
REP-007|zh|hanzi#13#siteB#k3,REP-007|zh|hanzi#13#siteB,3,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,B,0.007516,0.996242,mixed,547
REP-007|zh|hanzi#13#siteB#k4,REP-007|zh|hanzi#13#siteB,4,REP-007|zh|hanzi#13,REP-007,C1,democracy,zh,hanzi,baseline,B,0.006628,0.996686,mixed,538
REP-007|en|latin#14#siteA#k0,REP-007|en|latin#14#siteA,0,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,A,0.00557,0.997215,en,679
REP-007|en|latin#14#siteA#k1,REP-007|en|latin#14#siteA,1,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,A,0.007207,0.996397,en,667
REP-007|en|latin#14#siteA#k2,REP-007|en|latin#14#siteA,2,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,A,0.005882,0.997059,en,700
REP-007|en|latin#14#siteA#k3,REP-007|en|latin#14#siteA,3,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,A,0.006019,0.996991,en,722
REP-007|en|latin#14#siteA#k4,REP-007|en|latin#14#siteA,4,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,A,0.00575,0.997125,en,713
REP-007|en|latin#14#siteB#k0,REP-007|en|latin#14#siteB,0,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,B,0.006368,0.996816,en,754
REP-007|en|latin#14#siteB#k1,REP-007|en|latin#14#siteB,1,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,B,0.00646,0.99677,en,762
REP-007|en|latin#14#siteB#k2,REP-007|en|latin#14#siteB,2,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,B,0.006533,0.996734,en,768
REP-007|en|latin#14#siteB#k3,REP-007|en|latin#14#siteB,3,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,B,0.006632,0.996684,en,722
REP-007|en|latin#14#siteB#k4,REP-007|en|latin#14#siteB,4,REP-007|en|latin#14,REP-007,C1,democracy,en,latin,baseline,B,0.006183,0.996909,en,734
REP-008|zh|hanzi#15#siteA#k0,REP-008|zh|hanzi#15#siteA,0,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,A,0.008503,0.995749,en,605
REP-008|zh|hanzi#15#siteA#k1,REP-008|zh|hanzi#15#siteA,1,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,A,0.008449,0.995776,en,610
REP-008|zh|hanzi#15#siteA#k2,REP-008|zh|hanzi#15#siteA,2,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,A,0.008877,0.995562,en,543
REP-008|zh|hanzi#15#siteA#k3,REP-008|zh|hanzi#15#siteA,3,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,A,0.008717,0.995642,en,631
REP-008|zh|hanzi#15#siteA#k4,REP-008|zh|hanzi#15#siteA,4,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,A,0.008412,0.995794,en,577
REP-008|zh|hanzi#15#siteB#k0,REP-008|zh|hanzi#15#siteB,0,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,B,0.010802,0.994599,mixed,528
REP-008|zh|hanzi#15#siteB#k1,REP-008|zh|hanzi#15#siteB,1,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,B,0.011424,0.994288,mixed,517
REP-008|zh|hanzi#15#siteB#k2,REP-008|zh|hanzi#15#siteB,2,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,B,0.011222,0.994389,mixed,510
REP-008|zh|hanzi#15#siteB#k3,REP-008|zh|hanzi#15#siteB,3,REP-008|zh|hanzi#15,REP-008,C2,democracy,zh,hanzi,baseline,B,0.010494,0.994753,mixed,549
