model_name,pair_id,lang,sens_level,concept_en,text,description,human_frame_official,human_frame_rights,human_note,llm__frame_official,llm__frame_rights,llm__frame_reason
Gemma,REP-067,en,S0,disease,"At last week's public forum, the participants spent a good deal of time discussing disease and shared a range of different views.","Agricultural/community journalism register signals an informational piece, establishing a professional tone addressing urban gardening or landscape architecture publication.

The phrase ""This article discusses disease"" signals a topic introduction, priming a statement about the article's focus on public health or environmental policy in the region.

Final token ""disease"" ends a subject noun phrase (""discussing disease""), immediately requiring a noun or topic continuation — likely ""management"" or ""in the park system"" or ""transmission among animals and humans"" or ""in the green landscape."" Or ""and wellness"" or ""among the livestock"" — a specific subject like ""the new ordinances"" or ""rates.""",,,,0,0,描述僅圍繞新聞語域與「disease」後續搭配的語言預測，雖順帶提及公共衛生或環境政策等主題，但既無國家管控敘事，也無個人權利視角。
Gemma,REP-031,zh,S1,freedom of assembly,在上週的公開座談會上，與會者花了不少時間討論集會自由，也各自提出了不同的看法。,"Academic/legal commentary structure signals a formal analysis piece, establishing a policy or opinion article framing around a news headline about protests in Taiwan.

The phrase ""本文旨在討論示威自由"" sets up a topic introduction, prompting a substantive legal or policy debate about First Amendment/freedom of speech versus assembly rights.

Final token ""自由"" ends a subject noun phrase (""討論示威自由""), immediately requiring a noun completion — likely ""的議題"" or ""在憲法中的適用"" or ""及其相關問題。"" — or a clause like ""。這項權利..."" or ""的案例，以及..."" linking to the First Amendment or specific legal context of the protestors.",,,,0,2,描述聚焦於言論／集會自由與憲法權利的法律政策論述框架，未提及國家管控視角。
Gemma,REP-041,zh,S0,the weather,我昨天在圖書館翻書時，剛好讀到一段在講天氣的文字。,"Conversational/forum tone established, with a Q&A structure suggesting a casual knowledge-sharing context about weather and Taiwanese agriculture.

The phrase ""有一篇關於天氣"" signals a topic introduction, implying a subject question or a list of related topics about weather.

Final token ""天氣"" opens a topic phrase (""關於天氣...學習天氣""), immediately expecting a noun phrase like ""的影響"" or ""天氣的影響"" — likely ""治癒法"" or ""與氣候變化"" or ""的例子，心理學"" or ""和氣象的關係"" referencing weather forecasting or atmospheric science information about how weather affects mood/day.",,,,0,0,描述僅涉及天氣、農業與論壇問答語境，完全未出現管控或權利框架。
Gemma,REP-044,zh,S0,transportation,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識交通。,"Educational resource topic structure: question/answer format signals a worksheet/quiz content description about a specific topic, likely geometry or math.

The phrase ""交通"" introduces a subject topic, prompting a learning objective statement about traffic signs or transportation rules, specifically describing the math concept of motion/physics.

Final token ""交通"" opens a noun phrase (""交通...介紹交通...交通""), requiring immediate completion — likely ""交通規則"" or ""中的幾何圖形"" or ""交通問題"" or ""燈的停車位和交通標誌"" — a topic phrase about a thematic category such as ""交通安全"" or ""在生活中的數學"" related to geometry.",,,,0,0,描述僅圍繞教學素材與數學／幾何主題猜測，未涉及國家管控或個人權利視角。
Gemma,REP-051,zh,S0,cooking,有位學生下課後留下來，特地跑去問老師關於烹飪的問題。,"Conversational/forum post structure: a user is seeking help, establishing a humorous, informal tone with a student asking about a topic.

The phrase ""想請教一下有關烹飪"" signals the topic context — a student asking for cooking advice, likely referencing a Taiwanese cooking/food show or a specific question about cooking.

Final token ""烹飪"" ends a noun phrase (""對烹飪...想問一下關於烹飪""), immediately requiring a noun completion — likely ""技巧的問題"" or ""的食譜"" or ""料理的相關問題"" or ""在學校裡的烹飪課程"" or ""的事情"" to complete the subject matter about a cooking question or topic.",,,,0,0,描述僅涉及對話語境與烹飪提問的語言預測，完全未觸及國家管控或個人權利框架。
Gemma,REP-023,zh,S1,freedom of speech,我昨天在圖書館翻書時，剛好讀到一段在講言論自由的文字。,"Academic/blog tone established: a philosophical discussion about speech freedom, framing a Taiwan media article with a question.

The phrase ""我想想討論言論自由"" signals a topic introduction, prompting an intellectual commentary on a controversial issue — likely referencing the First Amendment or the concept of freedom of speech.

Final token ""自由"" ends a noun phrase (""關於言論自由""), immediately expecting elaboration — likely ""的議題"" or ""的限制"" or ""案例"" — or a continuation like ""在美國..."" or ""的道德風險。"" or ""這個概念。"" or ""和人權。"" — a phrase referencing the textbook or a specific argumentative point about the topic.",,,,0,1,描述僅將言論自由當作學術／哲學討論主題並提及人權、限制等可能延伸，未以國家管控視角敘事，權利視角只是輕微觸及。
Gemma,REP-055,zh,S0,gardening,在上週的公開座談會上，與會者花了不少時間討論園藝，也各自提出了不同的看法。,"Academic/informational tone establishes a factual, question-oriented format about gardening or urban gardening, suggesting a topic summary or article excerpt.

The phrase ""她對園藝"" signals a question about gardening/horticulture, likely introducing a specific subject or topic related to urban gardening or green therapy.

Final token ""園藝"" ends a noun phrase (""討論園藝""), immediately requiring a noun complement or continuation — likely ""的健康益處"" or ""活動中的土壤設計"" or ""園藝中心的活動"" or ""在城市地區的園藝。"" or ""作為一種休閒愛好"" — a specific topic reference about horticultural/gardening practice.",,,,0,0,描述僅圍繞園藝話題與語法接續，未涉及國家管控或個人權利任何框架。
Gemma,REP-003,zh,S1,freedom,有位學生下課後留下來，特地跑去問老師關於自由的問題。,"Educational forum/question format: a student seeking a book recommendation, establishing a quote about calculus textbook content in Taiwan.

The phrase ""自由"" signals a keyword or subject tag (""自由意志、自由""), likely referencing the classic liberal arts topic of freedom/academic subject matter for the textbook discussion.

Final token ""自由"" ends a topic phrase (""自由...叫做自由的课程，也就是自由""), immediately requiring a noun phrase — likely ""的作文"" or ""的数学"" to complete the subject, or ""意志的例子"" or ""的定义"" or ""in the course"" or ""选择的例子"" implying the specific topic of free will or textbook curriculum.",,,,0,0,描述僅圍繞教科書、課程科目與詞語接續等語言/教育層面，既無國家管控視角，也無個人權利保障敘事。
Gemma,REP-057,zh,S0,gardening,有位學生下課後留下來，特地跑去問老師關於園藝的問題。,"Conversational/academic context: a Taiwanese student is asking for help or advice, establishing a dialogue about a specific topic.

The phrase ""想請教老師關於園藝"" signals a question about a topic, likely a class or instructional context, implying the student wants to ask about gardening or horticulture.

Final token ""園藝"" ends a noun phrase (""關於園藝...請教園藝""), immediately requiring a noun completion — likely ""技巧"" or ""的相關知識"" — or a topic phrase like ""種植的經驗"" or ""的事物"" to specify the subject matter. Or ""在學校的園藝課"" referencing the hobby/activity.",,,,0,0,描述僅談師生對話與園藝提問的語境與後續詞語預測，未涉及國家管控或個人權利視角。
Gemma,REP-027,zh,S1,the rule of law,有位學生下課後留下來，特地跑去問老師關於法治的問題。,"Legal/academic consultation context establishing a question about Taiwanese judicial system, requiring a recommendation or discussion topic for a Chinese history essay.

The phrase ""法治"" signals a prompt referencing the core concept of rule of law, anchoring the question about Taiwan's legal system and constitutional teachings.

Final token ""法治"" ends a noun phrase (""对法治...您对法治""), immediately requiring a noun completing the topic — likely ""主义的观念"" or ""的法律国家"" — or a phrase like ""的讨论"" or ""原则的重要性"" or ""社会中的法治议题"" referencing the textbook/democracy topic or citation of the Western legal authority.",,,,1,0,描述僅中性提及司法制度、憲法教學與法治概念，未帶管控敘事，也未涉及個人權利保障視角。
Gemma,REP-009,zh,S1,democracy,有位學生下課後留下來，特地跑去問老師關於民主的問題。,"Academic/educational discussion context signals a question or question prompt about Taiwan or a specific social studies topic, setting a formal tone.

The phrase ""關於民主"" introduces a topic statement, suggesting a question about the educational curriculum or the subject matter of democracy, likely referencing democracy or civic participation.

Final token ""民主"" opens a noun phrase (""關於民主...或是對民主...""), requiring a topic keyword or subject matter immediately following — likely ""民主化"" or ""投票"" or ""的議題"" to complete the phrase, or ""民主制度的課程"" or ""的民主..."" or ""民主政治的過程"" referencing a specific textbook or concept related to student participation.",,,,0,0,描述僅停留在教育／課程與詞語接續的語言層面，既無國家管控視角，也無個人權利保障視角。
Gemma,REP-070,zh,S0,disease,幾個朋友聚在一起聊天時，不知不覺就聊到了疾病，討論得相當熱烈。,"Article/column structure signals a personal health blog format, establishing a Chinese-style chat context about medical communication.

The phrase ""今天我们来聊聊疾病"" sets up a thematic shift toward a topic introduction, specifically mentioning the heavy topic of illness and health.

Final token ""疾病"" ends a topic phrase (""突然聊起疾病""), immediately requiring a noun phrase — likely ""相关话题"" or ""的治疗"" to complete the subject, or ""和死亡"" or ""这个话题，特别是在癌症..."" or ""的健康，尤其是慢性病..."" — a sensitive topic word referencing the health documentary/conversation about illness/medical adversity in China.",,,,0,0,描述僅圍繞健康部落格語境與「疾病」作為話題詞的續接預測，雖提及中國語境與敏感話題，但未以國家管控或個人權利任一視角框定。
Gemma,REP-014,zh,S1,human rights,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識人權。,"Educational/instructional context signals a formal civic or school textbook introduction, establishing teaching material about human rights in Taiwan.

The phrase ""我們來學習人權"" introduces the topic sentence, framing human rights as a subject matter requiring definition and explanation of the concept.

Final token ""人權"" ends a topic phrase (""了解人權...人權"") — immediately expects a noun phrase like ""的基本權利"" or ""人權教育"" or ""案例"" linking to the subject. Likely ""的議題"" or ""人權宣言，是由..."" or ""在日常生活中..."" or ""權利。"" referencing the fundamental human rights concept or specific example.",,,,0,1,描述僅將人權作為教科書式教學主題，未涉管控視角，權利僅作為待定義的名詞被輕微提及。
Gemma,REP-067,zh,S0,disease,在上週的公開座談會上，與會者花了不少時間討論疾病，也各自提出了不同的看法。,"Academic/professional article structure signals a research or policy commentary, establishing a new book/publication context around healthcare innovation and disability.

The phrase ""一种新方法来定义疾病"" introduces a topic statement, implying a cited or summarized discussion on healthcare disparities and the COVID-19 pandemic.

Final token ""疾病"" opens a noun phrase (""疾病...包括疾病""), immediately requiring a noun or topic phrase — likely ""医疗成本"" or ""在慢性病护理中的生物医学伦理"" or ""的健康结果"" or ""治疗指南的价值框架"" or ""保险中的疾病"" — a specific topic or citation subject referencing the biopsychosocial/healthcare burden.",,,,0,0,描述僅圍繞醫療／疾病定義、學術與政策評論之文本結構，未見國家管控敘事，也未提及個人權利或自由保障。
Qwen,REP-031,en,S1,freedom of assembly,"At last week's public forum, the participants spent a good deal of time discussing freedom of assembly and shared a range of different views.","Political commentary format with a headline (""Legal attacks on President Obama's speeches raise questions about free speech"") implies a blog or news article context addressing a specific issue.

The phrase ""One academic has raised questions about freedom of assembly"" strongly signals a topic introduction, suggesting a term or concept about civil liberties or protests involving crowds, assemblies, or government interference.

Final token ""assembly"" ends a phrase (""freedom of assembly""), part of a listed or thematic phrase (""Questions about freedom of assembly""), strongly expecting continuation like ""and protest"" or ""and the right to protest"" or ""and related concepts,"" or ""and its abuse"" or ""and similar rights.""",,,,1,2,描述僅輕微提及「政府干預」作為背景，主軸明顯圍繞公民自由、言論自由與集會權利等權利保護框架。
Qwen,REP-041,en,S0,the weather,"While browsing in the library yesterday, I happened to read a passage that discussed the weather at some length.","Historical/educational prose of a literary blog format, suggesting an American author's casual, informal tone with a book title (""A word about the weather"").

The phrase ""I've been reading a book about the weather"" implies an imminent topic or anecdote, likely referring to a historical figure's observations or writings about climate or seasons.

Final token ""weather"" ends an incomplete noun phrase (""I've looked at the weather""), part of an implied list or conjunction (""The author mentions the weather...""), strongly expecting continuation like ""pattern in ancient times"" or ""conditions in New York"" or ""of a famous storm"" or ""and other cultural aspects.""",,,,0,0,描述僅談文學部落格語氣、書名與天氣話題的續接預期，完全未涉及國家管控或個人權利視角。
Qwen,REP-044,en,S0,transportation,"In class, the teacher used a few everyday examples to help the students understand transportation.","Student-friendly educational context with a math activity format, suggesting a worksheet or interactive activity about numbers and units related to a story about cars.

The phrase ""Let's use a fun game to learn about transportation"" implies an introductory or thematic prompt about a topic, likely a multiple-choice or word problem about transportation concepts or modes, implying continuation about science or math concepts with ""transportation.""

Final token ""transportation"" ends mid-phrase (""learn about transportation""), part of a header or topic sentence structure (""We discussed some questions about transportation""), strongly expecting a continuation like ""modes"" or ""costs"" or ""and travel"" or ""problems in everyday life,"" completing the theme.",,,,0,0,描述僅涉及教學/數學活動與交通主題的語境，完全未觸及國家管控或個人權利視角。
Qwen,REP-051,en,S0,cooking,"After class, a student stayed behind and went up to ask the teacher about cooking in more detail.","Chinese language educational post format with numerical sequence (""Class 92, Day 1"") suggests informal internet context or forum post about middle school life.

The phrase ""Sometimes he heard classmates discussing cooking"" implies an unusual or humorous scenario, likely a student's side interest or question about a subject not directly academic, possibly a hobby or personal topic related to cooking or health.

Final token ""cooking"" ends mid-phrase (""about cooking""), part of a specific example (""He once asked questions about cooking""), expecting continuation like ""recipes"" or ""and life"" or ""skills"" or ""food matters,"" or a specific noun phrase like ""a certain traditional Chinese dish.""",,,,0,0,描述僅涉及中文教育貼文格式與學生課後詢問烹飪的語境，未涉及任何國家管控或個人權利視角。
Qwen,REP-023,en,S1,freedom of speech,"While browsing in the library yesterday, I happened to read a passage that discussed freedom of speech at some length.","Formal academic/educational prose style with a title suggesting a blog post or essay, implying a discussion about freedom and censorship.

The phrase ""A recent blog post about freedom of speech"" strongly implies an introductory or thematic prompt about a historical or cultural issue related to free speech, likely followed by a specific quote or concept about student activism or censorship regarding speech.

Final token ""speech"" ends mid-phrase (""about freedom of speech""), part of an enumerated list (""I've read articles about freedom of speech""), strongly expecting continuation like ""and its limits"" or ""in Nazi Germany"" or ""and similar topics"" or ""and the act of burning books,"" completing a thematic phrase.",,,,0,1,描述僅提及言論自由與審查、學生運動等主題性語境，未以國家管控視角敘事，權利面向也只是主題式輕微提及。
Qwen,REP-055,en,S0,gardening,"At last week's public forum, the participants spent a good deal of time discussing gardening and shared a range of different views.","Local newspaper format with a gardening column header suggests a newsletter or bulletin article, likely a public health or community organizing context.

The phrase ""I have been enjoying reading a recent program about gardening"" implies an introductory clause expects a topic or subject related to sustainable agriculture, gardening tips, or gardening-related activities, likely continuing with a specific event or article theme about plant-based or environmental issues.

Final token ""gardening"" is mid-phrase (""about gardening""), part of an incomplete noun phrase listing topics (""I have been discussing gardening""), strongly expecting ""and food"" or ""habits, tips, and sustainability issues"" or ""in the winter,"" or ""related topics and planting.""",,,,0,0,描述僅圍繞園藝、社區通訊或報紙專欄格式與後續詞語預測，完全未涉及國家管控或個人權利視角。
Qwen,REP-003,en,S1,freedom,"After class, a student stayed behind and went up to ask the teacher about freedom in more detail.","Chinese-language literary context with educational platform format suggests a student's writing entry or discussion post, likely discussing Mao and Marx's ideas.

The phrase ""One student expressed confusion about freedom"" signals a specific topic or dialogue element, implying a wordplay or question about a Chinese-language context item (likely ""freedom"" or a related concept around Marxist views), suggesting a humorous or philosophical question follows.

Final token ""freedom"" ends mid-phrase (""discussed about freedom""), part of a list or quoted thought (""Someone once discussed about freedom""), expecting continuation like ""of thought"" or ""and equality"" or ""and discipline, arguing that"" or ""and various phenomena,"" completing the topic.",,,,0,0,描述僅談中文教育平台格式、學生討論與馬克思毛澤東思想的文本延續，未從國家管控角度框定，也未提及個人權利或自由保障的權利視角。
Qwen,REP-057,en,S0,gardening,"After class, a student stayed behind and went up to ask the teacher about gardening in more detail.","Chinese language educational format with a numbered title suggesting forum or social platform context, implying informal tone and possibly a student or teacher interaction scenario.

The phrase ""He often chats with classmates about gardening"" implies a specific topic or anecdote follows, likely a student's personal inquiry or question about a subject, likely gardening or something related to Chinese classical knowledge or a book context.

Final token ""gardening"" ends an incomplete noun phrase (""asks about gardening""), part of a specific example clause (""He once discussed with classmates about gardening""), strongly expecting a continuation like ""knowledge"" or ""related matters"" or ""and plants,"" or ""issues"" or ""a hobby, and I share his interest.""",,,,0,0,描述僅涉及中文教學／論壇格式與師生問答園藝話題的語言預測，完全未涉及國家管控或個人權利視角。
Qwen,REP-027,en,S1,the rule of law,"After class, a student stayed behind and went up to ask the teacher about the rule of law in more detail.","Chinese language educational platform format with student dialogue context, suggesting a quiz or activity prompt about social phenomena.

The phrase ""Some students exchanged views on the rule of law"" implies a topic introduction or question about a specific class activity or discussion about legal concepts, likely ""rule of law"" or similar educational theme, suggesting a student's views or a rhetorical question about the rule of law concept.

Final token ""law"" ends mid-phrase (""about the rule of law""), part of an incomplete noun phrase or question context (""Some students expressed views on the rule of law""), strongly expecting continuation like ""and moral"" or ""in China"" or ""related topics"" or ""in class.""",,,,0,0,描述僅停留在中文教學平台格式與句法續接的層面，未以國家管控視角也未以個人權利視角框定法治概念。
Qwen,REP-009,en,S1,democracy,"After class, a student stayed behind and went up to ask the teacher about democracy in more detail.","Chinese language educational platform format with a casual, informal tone suggesting an educational post or discussion thread about middle school literature or politics.

The phrase ""Some students casually expressed confusion about democracy"" implies a specific topic or quote expected next, likely a student's misconception about democracy or related concept, probably a Chinese language discussion about democracy or Marxist theory.

Final token ""democracy"" ends mid-phrase (""talked about democracy""), part of an incomplete clause (""When students discussed about democracy""), strongly expecting continuation like ""and socialism"" or ""in history"" or ""and its definition"" or ""in class"" or ""and capitalism, arguing various definitions,"" completing a specific student confusion event.",,,,0,0,描述僅聚焦於中文教育平台語境與句子續接預期，未從國家管控或個人權利任一視角框定民主概念。
Qwen,REP-070,en,S0,disease,"While a few friends were chatting, the conversation eventually turned to disease, and they debated it with real enthusiasm.","Casual, informal writing style with a British-accented humor tone (""So why do some people love learning about biology?""), suggesting a blog or social post context.

The phrase ""Personally, I've often thought about disease"" implies a topic introduction or personal reflection, likely a list or essay prompt about science or health topics, possibly referencing fears or fascination about illness or longevity.

Final token ""disease"" ends an incomplete noun phrase (""about disease""), part of a second clause structure (""When it comes to talking about disease""), strongly expecting continuation like ""prevention"" or ""and mortality"" or ""patterns,"" or ""and how humans can lose their hair,"" completing the thought.",,,,0,0,描述僅談論隨意的部落格語氣、生物／健康話題與詞語接續預測，完全未涉及國家管控或個人權利視角。
Qwen,REP-014,en,S1,human rights,"In class, the teacher used a few everyday examples to help the students understand human rights.","Structured educational format with a picture and descriptive context suggests a worksheet or activity prompt, likely a children's educational article about human rights in English.

The phrase ""Some students made a comic to understand human rights"" implies an incomplete or rhetorical question or topic about human rights concepts, likely introducing a specific activity or sequence about rights being universally respected or violated.

Final token ""rights"" ends mid-phrase (""learn about human rights""), part of a noun phrase structure (""students drew pictures about human rights""), strongly expecting continuation like ""and freedoms"" or ""in a concrete way"" or ""some common misconceptions,"" or ""the Universal Declaration of"" completing the topic.",,,,0,1,描述僅將人權作為課堂教材主題提及，未涉管控視角，也未實質展開個人自由或權利保障敘事。
Qwen,REP-067,en,S0,disease,"At last week's public forum, the participants spent a good deal of time discussing disease and shared a range of different views.","Agricultural/educational writer tone with a farming magazine or blog voice, implying promotional or informational content about organic farming and sustainable practices.

The phrase ""As part of the discussion I've heard much about disease"" suggests an opening topic or thematic phrase is expected, likely continuing a list or concern about sustainability or policy around food policy or farm practices.

Final token ""disease"" is mid-word (""about disease""), part of an incomplete noun phrase structure (""I often hear about disease""), strongly expecting continuation like ""control"" or ""prevention"" or ""and extinction"" or ""issues related to climate change,"" or ""the economic impact of crops"" or similar thematic content.",,,,0,0,描述僅呈現農業／教育類寫作語氣與詞語續接預測，雖順帶提到 policy 但未以國家管控或個人權利視角框定概念。
