model_name,pair_id,lang,sens_level,concept_class,concept_en,frame,text,description,desc_lang,prompt_leak_span,faith_cos,faith_pass,frame_official,frame_rights,frame_reason
Qwen,REP-006,en,S1,S,freedom,C6,"In the preface, the author explains that the book grew out of a wish to explore freedom in depth.","Academic literary criticism format with scholarly tone suggests a book description or introduction, likely a literary work by a British author with political or philosophical intent.

The phrase ""This book attempts to explore freedom"" implies an opening quote or topic phrase about existentialism or philosophical themes around Freud's concept, likely continuing a list or discussion of cultural or literary themes about freedom and mathematics.

Final token ""freedom"" ends mid-phrase (""explore freedom""), part of a listed subject description (""I have often written about freedom""), strongly expecting continuation like ""and creativity"" or ""as a concept"" or ""of thought in literature"" or ""and its opposite, or the nature of..."".",en,19,0.923065,True,0,2,描述明顯以個人自由的視角來探討自由的概念，強調了自由的哲學主題。
Qwen,REP-006,zh,S1,S,freedom,C6,這本書的作者在序言裡提到，他當初動筆，就是想好好談談自由。,"Hong Kong literary writer's blog post tone signals an intellectual book review or essay introduction, likely referencing a Taiwanese film.

The phrase ""這本新書談到自由"" strongly implies a noun phrase or topic about freedom or ideology, likely continuing an argument about either a book title or cultural debate around liberal values versus conformism, suggesting ""自由意志"" or similar concepts about philosophy and morality.

Final token ""自由"" is mid-word (""談到自由""), part of a listed concept clause (""我曾思考過自由""), strongly expecting continuation like ""意志"" or ""的界線"" or ""與政治"" or ""的理念與生活"" or similar noun phrase completing the topic.",en,0,0.932963,True,0,2,內部描述明顯提到自由，且強調自由的理念與生活，顯示出以個人權利／自由保障的視角來框定這個概念。
Qwen,REP-007,en,S1,S,democracy,C1,"At last week's public forum, the participants spent a good deal of time discussing democracy and shared a range of different views.","Historical/political blog tone with a headline suggesting a podcast episode, implying academic or civic commentary about U.S. politics and media.

The phrase ""Recently I've been thinking about democracy"" signals an introduction or topic about a specific article or series, likely a framing question or theme around democracy, civic engagement, or the Tea Party's views on government.

Final token ""democracy"" ends mid-word or mid-phrase (""thoughts about democracy""), part of a list or topic introduction clause (""This post has been exploring democracy""), strongly expecting continuation like ""and transparency,"" ""in America,"" ""and its challenges,"" or ""as a concept"" or ""and the process.""",en,13,0.939847,True,1,1,描述中提到民主和公民參與，輕微涉及政府和個人權利的觀點，但並未明顯強調管控或權利保障的視角。
Qwen,REP-007,zh,S1,S,democracy,C1,在上週的公開座談會上，與會者花了不少時間討論民主，也各自提出了不同的看法。,"Hong Kong media article tone with editorial framing (""香港票房大导演的說法: 我國的‘不對話’""), suggesting political commentary or analysis context.

The phrase ""這篇文章提到民主"" signals an incomplete noun phrase, likely continuing a list or theme about recent controversies or concerns around Taiwan's media or democracy, implying a specific topic like ""values"" or ""trial.""

Final token ""民主"" is mid-word from ""民主"" beginning a noun phrase (""關於民主""), part of a speculative question structure (""關於民主...""), strongly expecting continuation like ""制度的問題"" or ""與反彈"" or ""黨的衰落"" or similar thematic term.",en,0,0.913939,True,2,0,內部描述提到政治評論或分析的背景，明顯以國家／體制的管控視角來框定概念，但未提及個人權利或自由保障的視角。
Qwen,REP-008,en,S1,S,democracy,C2,"In class, the teacher used a few everyday examples to help the students understand democracy.","Formal educational/cultural image format with a quiz or activity prompt structure (""An exercise asks kids to understand democracy""), implying a student activity or article context around a cartoon.

The phrase ""Sometimes children create a comic to understand democracy"" suggests a topic about a specific concept or activity around democracy, likely a metaphor or definition exercise about democratic processes or voting.

Final token ""democracy"" ends an incomplete noun phrase (""explore democracy""), part of a title or concept framing clause (""A few activities show kids understand democracy""), strongly expecting continuation like ""and its principles,"" ""in action,"" or ""as a system"" or ""and voting,"" completing the educational prompt's theme.",en,22,0.943885,True,1,0,描述中提到的教育活動和民主的理解，輕微涉及政府或制度的概念，但沒有明顯的權利或自由保障的視角。
Qwen,REP-008,zh,S1,S,democracy,C2,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識民主。,"Hong Kong school teaching resource format with a picture caption, suggesting educational or interactive content about ""民主"" (democracy) and children's understanding.

The phrase ""有些小朋友通過遊戲了解民主"" implies an incomplete or implied topic phrase, suggesting a list or concept about democratic values, possibly a quiz or activity title or historical illustrations about democratic principles.

Final token ""民主"" ends mid-word (""了解民主""), part of a compound noun or list structure (""有些題目討論過民主""), strongly expecting continuation like ""制度"" or ""投票"" or ""與公義"" or ""的三個面向"" or ""民主的優點"" — completing the concept about democratic concepts.",en,0,0.945275,True,0,2,描述強調了學生對民主的理解，明顯以權利視角敘事，涉及民主價值和個人自由的認識。
Qwen,REP-009,en,S1,S,democracy,C3,"After class, a student stayed behind and went up to ask the teacher about democracy in more detail.","Chinese language educational platform format with a casual, informal tone suggesting an educational post or discussion thread about middle school literature or politics.

The phrase ""Some students casually expressed confusion about democracy"" implies a specific topic or quote expected next, likely a student's misconception about democracy or related concept, probably a Chinese language discussion about democracy or Marxist theory.

Final token ""democracy"" ends mid-phrase (""talked about democracy""), part of an incomplete clause (""When students discussed about democracy""), strongly expecting continuation like ""and socialism"" or ""in history"" or ""and its definition"" or ""in class"" or ""and capitalism, arguing various definitions,"" completing a specific student confusion event.",en,17,0.885565,True,1,0,描述中提到學生對民主的困惑，輕微提及了教育和政治的相關性，但並未明顯以權利保障的視角來框定。
Qwen,REP-009,zh,S1,S,democracy,C3,有位學生下課後留下來，特地跑去問老師關於民主的問題。,"Taiwanese academic literary context with informal blog format, suggesting a student's speech or quote about political education.

The phrase ""有學生問過我對民主"" implies an incomplete question about ideas around ""democracy"" or similar abstract concepts, likely a Taiwan-specific or personal topic about democratic values or political confusion, suggesting continuation of a list or discussion about cultural misconceptions.

Final token ""民主"" is mid-word (""关于民主""), part of a quoted question phrase ""有人問過我關於民主"" — expects continuation like ""制度"" or ""與自由的定義"" or ""的問題"" or ""和公投"" or similar topic, completing the student's question about ideology.",en,0,0.945026,True,1,1,描述中提到政治教育和民主的問題，輕微涉及國家體制的觀點，同時也暗示了個人對民主的理解和權利的思考。
Qwen,REP-010,en,S1,S,democracy,C4,"While a few friends were chatting, the conversation eventually turned to democracy, and they debated it with real enthusiasm.","Arabic language blog post format with informal tone, suggesting a social media post or article; the phrase ""Some folks in Korea recently complained about democracy"" implies a topic or prompt about politics.

The phrase ""I have often heard discussions about democracy"" implies a noun phrase or topic introduction, likely naming a specific concept or cultural notion, possibly about democracy, education, or political values in Asian context.

Final token ""democracy"" ends mid-phrase (""about democracy""), part of a list or thought sequence (""Some people have been talking about democracy""), strongly expecting continuation like ""and its decline,"" ""systems,"" ""and freedom,"" or ""as a concept"" or ""of voting.""",en,12,0.948421,True,1,0,描述中提到政治話題，輕微涉及政府和民主的討論，但沒有明顯的權利保障視角。
Qwen,REP-010,zh,S1,S,democracy,C4,幾個朋友聚在一起聊天時，不知不覺就聊到了民主，討論得相當熱烈。,"Hong Kong internet humor or casual blog tone with a post title suggesting an intellectual discussion, implying a provocative or ironic social commentary about politics or education.

The phrase ""我個人常常會對民主"" begins a list or topic about something related to ""民主"" (likely a Chinese context), strongly implying a topic about democratic concepts, political systems, or critiques of modern life.

Final token ""民主"" is mid-word (""關於民主""), part of an incomplete noun phrase ""有时我就曾谈论過民主"" suggesting continuation of a topic enumeration or question about opinions, likely ""制度"" or ""与专制的对比"" or ""政治"" or ""民主投票的本质"" or similar.",en,0,0.945456,True,1,0,描述中提到民主，暗示了對政治體制的討論，但並未明顯強調個人權利或自由保障的視角。
Qwen,REP-011,en,S1,S,democracy,C5,"While browsing in the library yesterday, I happened to read a passage that discussed democracy at some length.","Blog/post format with an academic/philosophical tone suggesting a quotation or cultural discussion, implying an essay about American politics or political discourse.

The phrase ""Recently I have been reading about democracy"" strongly implies a title or topic about a specific concept or historical perspective on democracy, likely a series of quotes or points about democratic values or skepticism about democratic institutions.

Final token ""democracy"" ends an incomplete noun phrase (""discussed democracy""), part of a quoted or contextualized claim structure (""He wrote about democracy""), strongly expecting continuation like ""and/or freedom"" or ""as a process"" or ""in terms of ancient Greek values"" or ""and its decline,"" continuing the topic.",en,19,0.956365,True,1,1,描述中提到政治話題，輕微涉及政府和民主制度，但未明顯強調管控視角；同時提及民主價值，暗示個人自由的討論，輕微涉及權利保障。
Qwen,REP-011,zh,S1,S,democracy,C5,我昨天在圖書館翻書時，剛好讀到一段在講民主的文字。,"Hong Kong cultural/philosophical blog post tone with informal Chinese-character quotation marks suggesting a book title or essay context about political correctness and ideology.

The phrase ""有人甚至用一首詩批判過民主"" implies an opening phrase or concept about a topic related to democracy or politics, suggesting the author is listing or addressing criticisms or misinterpretations of a certain concept.

Final token ""民主"" is mid-phrase in ""關於民主"", part of an incomplete noun phrase listing topics (""有一篇談到民主""), strongly expecting a noun like ""制度"" or ""的價值"" or ""與自由"" or ""的流弊"" or ""和公投"" — a common Taiwan critique term.",en,0,0.943056,True,1,0,描述中提到政治和民主的批判，輕微涉及政府或制度的管控視角，但沒有明顯的權利保障框架。
Qwen,REP-012,en,S1,S,democracy,C6,"In the preface, the author explains that the book grew out of a wish to explore democracy in depth.","Academic literary/cultural text with scholarly tone, suggesting a book description or commentary format featuring a prominent intellectual figure's writings on politics and history.

The phrase ""One book sets out to study democracy"" strongly implies an incomplete noun phrase or thematic statement about a topic related to democratic theory or intellectual history, likely a book's focus on democratic values or social philosophy.

Final token ""democracy"" ends mid-phrase (""examining democracy""), part of a quoted or listed topic clause (""He has attempted to explore democracy""), expecting continuation like ""and religion,"" ""as a process,"" or ""in a new light,"" or ""in terms of a cultural or historical crisis.""",en,21,0.948377,True,1,0,描述中提到政治和歷史，但未明顯強調個人權利或自由保障的視角。
Qwen,REP-012,zh,S1,S,democracy,C6,這本書的作者在序言裡提到，他當初動筆，就是想好好談談民主。,"Hwang's intellectual memoir tone signals a Taiwanese academic blog or commentary piece introducing a book, expecting cultural and political discourse about democracy, freedom, or ideology.

The phrase ""為了一本新書，我常常思考民主"" implies a title or question about democracy's nature or decline, suggesting a thematic thread about intellectual confusion or misunderstanding about democratic ideals.

Final token ""民主"" is mid-word ("" Discussion about民主""), part of a list or question structure (""我們曾對談過民主""), strongly expecting a noun phrase continuation like ""制度的真義"" or ""与自由的关系"" or ""的複雜性"" or ""社会运动的意义"" completing the topic.",en,0,0.945933,True,1,1,內部描述中提到文化和政治話語，暗示了對民主的探討，既有對體制的輕微提及，也涉及自由和權利的討論。
Qwen,REP-013,en,S1,S,human rights,C1,"At last week's public forum, the participants spent a good deal of time discussing human rights and shared a range of different views.","Canadian political/cultural commentary tone with informal register, suggesting an educational or blog-style blog post about a Canadian-American minister's travel.

The phrase ""Some have been discussing human rights"" strongly implies a topic introduction or a specific issue, likely a headline or discussion about human rights violations, rights discourse, or a book's focus on Canadian politics.

Final token ""rights"" ends mid-phrase (""human rights""), part of a noun phrase listing topics (""I have heard about human rights""), strongly expecting continuation like ""issues,"" ""and environmental concerns,"" ""and the persecution of LGBTQ"" or ""concepts,"" or ""in the context of a global crisis"" or similar.",en,24,0.936889,True,0,2,描述明顯以權利視角敘事，提到人權的討論，強調了個人權利的議題。
Qwen,REP-013,zh,S1,S,human rights,C1,在上週的公開座談會上，與會者花了不少時間討論人權，也各自提出了不同的看法。,"Hong Kong political context establishes a headline or article format with ""香港前總理"" implying a Singaporean media commentary or social media post about COVID-19 restrictions.

The phrase ""他亦提到人權"" suggests a list or topic about human rights concerns or a related subject, likely an article title or argument about government actions or censorship, implying continuation of a specific topic.

Final token ""人權"" is mid-phrase (""人權""), part of a vague noun phrase beginning ""關於人權"" — strongly expects a noun like ""問題"" or ""與自由"" or ""標籤、批判"" or ""法案的模糊性"" or similar concept completing the question.",en,0,0.913513,True,1,1,描述中提到人權，暗示了政府行動或審查的相關性，但並未明顯強調國家管控的視角；同時也提及了人權的討論，顯示出對個人權利的關注，但未深入探討權利保障的具體內容。
Qwen,REP-014,en,S1,S,human rights,C2,"In class, the teacher used a few everyday examples to help the students understand human rights.","Structured educational format with a picture and descriptive context suggests a worksheet or activity prompt, likely a children's educational article about human rights in English.

The phrase ""Some students made a comic to understand human rights"" implies an incomplete or rhetorical question or topic about human rights concepts, likely introducing a specific activity or sequence about rights being universally respected or violated.

Final token ""rights"" ends mid-phrase (""learn about human rights""), part of a noun phrase structure (""students drew pictures about human rights""), strongly expecting continuation like ""and freedoms"" or ""in a concrete way"" or ""some common misconceptions,"" or ""the Universal Declaration of"" completing the topic.",en,24,0.932301,True,0,2,描述明顯以權利視角敘事，強調人權的理解和尊重。
Qwen,REP-014,zh,S1,S,human rights,C2,老師在課堂上舉了幾個生活中的例子，帶著學生一起認識人權。,"Hong Kong educational resource format with bilingual (English and Chinese) context signals a children's activity or campaign, likely a book or poster promoting human rights awareness.

The phrase ""有些小朋友從小就認識人權"" implies an incomplete phrase about exploring human rights topics, strongly suggesting a list or theme about specific human rights concepts or a centennial event title.

Final token ""人權"" ends mid-phrase (""探索人權""), part of a noun phrase listing or describing an activity (""有些人曾透過繪畫認識人權""), expecting continuation like ""的原則"" or "" violations"" or ""的基本理念"" or ""五个方面的内容"" to complete the concept.",en,0,0.938322,True,0,2,描述明顯以權利視角敘事，強調人權認識和教育。
Qwen,REP-015,en,S1,S,human rights,C3,"After class, a student stayed behind and went up to ask the teacher about human rights in more detail.","Formal educational context with a Chinese-language educational platform format suggests an interactive or spoken activity, likely a blog or classroom exchange about ""The Constitution"" or human rights.

The phrase ""Some students once misunderstood human rights"" implies an incomplete or casual student dialogue topic, likely a joke or personal reflection about a historical or confused concept, suggesting a word or topic about human rights or constitutional rights follows.

Final token ""rights"" ends mid-phrase (""about human rights""), part of an incomplete noun phrase or question (""Some students discussed about human rights""), strongly expecting continuation like ""and freedoms"" or ""issues,"" or ""in history,"" or ""a certain concept about humans,"" completing the topic.",en,20,0.887285,True,1,2,描述中提到人權，且有關於《憲法》的討論，顯示出對個人權利的明顯關注，但對於國家或體制的管控視角僅有輕微提及。
Qwen,REP-015,zh,S1,S,human rights,C3,有位學生下課後留下來，特地跑去問老師關於人權的問題。,"Hong Kong secondary school educational context with informal tone suggesting a blog or discussion post, implying a student's personal identity or confusion about a topic.

The phrase ""有些學生曾問過我關於人權"" implies a question phrase or topic about human rights, likely continuing a list or theme, suggesting a second word or specific concept about rights or moral values is expected next.

Final token ""人權"" is mid-word (""關於人權""), part of an incomplete question about a student's misunderstanding of a topic, strongly expecting continuation like ""的問題"" or ""與自由"" or ""理念"" or ""相關的議題"" or ""的界限"" — a common Singaporean/educational context.",en,0,0.926168,True,0,2,描述明顯以權利視角敘事，提到學生對人權的問題，強調個人權利的探討。
Qwen,REP-016,en,S1,S,human rights,C4,"While a few friends were chatting, the conversation eventually turned to human rights, and they debated it with real enthusiasm.","Formal English language context with an informal blog or social media tone suggests an essay or headline about a celebrity's controversial stance, likely an anecdote about country-specific attitudes.

The phrase ""Recently I have been thinking about human rights"" implies a topic introduction or theme, likely a question or discussion about human rights abuses or related concepts, possibly a memoir or opinion piece.

Final token ""rights"" ends mid-phrase (""about human rights""), part of a list or topic introduction structure (""Some people have been talking about human rights""), strongly expecting continuation like ""issues,"" ""and freedoms,"" ""or the concept of freedom,"" or ""and a personal perspective which had been criticized.""",en,13,0.943231,True,1,2,描述中提到人權的討論，明顯以權利視角敘事，而對於國家或體制的管控視角僅有輕微提及。
Qwen,REP-016,zh,S1,S,human rights,C4,幾個朋友聚在一起聊天時，不知不覺就聊到了人權，討論得相當熱烈。,"Hong Kong internet humor format with informal tone suggesting a social media post or article title, implying a topic about freedom or opinion.

The phrase ""有些人經常討論到人權"" signals an implied concept or word about human rights, likely a joke or personal narrative about someone's opinions or misconceptions around certain topics, suggesting continuation of a cultural or political theme.

Final token ""人權"" is mid-phrase (""關於人權""), part of an incomplete noun phrase or question structure (""有些時候有人談到人權""), strongly expecting ""問題"" or ""的概念"" or ""和自由"", or ""上的議題"" or ""一些敏感問題"" completing the context.",en,0,0.937716,True,1,2,內部描述提到人權，並暗示與自由或意見相關的討論，明顯以權利視角敘事，但對於國家或體制的管控視角僅有輕微提及。
Qwen,REP-017,en,S1,S,human rights,C5,"While browsing in the library yesterday, I happened to read a passage that discussed human rights at some length.","Academic/educational blog tone with a quoted title suggesting a literary or political context, likely a Canadian or international writer's commentary on media or history.

The phrase ""I was recently reading about human rights"" implies an introductory or thematic claim about the speaker's thoughts on human rights, likely a second word or concept expected around human rights discourse or a specific historical event.

Final token ""rights"" ends mid-expression (""about human rights""), part of a noun phrase listing topics (""I have read about human rights""), strongly expecting continuation like ""and freedoms"" or ""issues being blown out of proportion"" or ""as universal"" or ""in the context of a historical document.""",en,15,0.951988,True,0,2,描述明顯以權利視角敘事，提到人權的討論，強調個人自由和人權保障。
Qwen,REP-017,zh,S1,S,human rights,C5,我昨天在圖書館翻書時，剛好讀到一段在講人權的文字。,"Hong Kong/English language culture context suggests a tweet or informal post about democracy, likely referencing a viral meme or image.

The phrase ""有人曾說過關於人權"" implies an incomplete word or topic phrase (""提及人權""), suggesting a literary or essay title or content about human rights issues, possibly a personal or critical reflection on societal attitudes or a book title.

Final token ""人權"" is mid-phrase (""提及人權""), part of a list or descriptive clause (""有些人曾經寫過關於人權""), strongly expecting continuation like ""的問題"" or ""和自由"" or ""的法律"" or ""的一些概念,"" completing a vague topic about human rights misinterpretation.",en,0,0.935324,True,0,2,內部描述明顯提及人權，且暗示對社會態度的反思，符合權利視角敘事。
Qwen,REP-018,en,S1,S,human rights,C6,"In the preface, the author explains that the book grew out of a wish to explore human rights in depth.","Academic scholarly/educational tone with a book description format, suggesting a scholarly article or lecture note about international law.

The phrase ""This book seeks to explore human rights"" implies an incomplete noun phrase or topic, likely continuing with a specific intellectual or historical discussion of human rights ideas, possibly referencing a book or course title about human rights abuses or moral claims.

Final token ""rights"" ends mid-phrase (""examine human rights""), part of a list or clause structure (""I have written about human rights""), strongly expecting continuation like ""as universal values,"" ""issues from a global perspective,"" or ""and other moral concepts"" or ""in literature or history"" completing the theme.",en,24,0.94546,True,0,2,描述明顯以權利視角敘事，強調對人權的深入探討。
Qwen,REP-018,zh,S1,S,human rights,C6,這本書的作者在序言裡提到，他當初動筆，就是想好好談談人權。,"Taiwanese intellectual/academic literary tone with an introductory quote suggesting a book review or cultural debate context.

The phrase ""他問起我曾經一個台灣人如何談人權"" strongly implies a book title or thematic question about human rights, likely continuing a list or reflection on concepts or abuses, suggesting a provocative or ironic framing around ""right"" or broader cultural values.

Final token ""人權"" is mid-word (""談人權""), part of an incomplete clause (""我曾對人權""), strongly expecting continuation like ""的範圍"" or ""與自由"" or ""與道德的問題"" or ""的問題"" — completing a literary or intellectual motif about human rights.",en,0,0.942545,True,0,2,內部描述明顯以權利視角敘事，強調人權的討論，但沒有提及國家或體制的管控。
Qwen,REP-019,en,S1,S,freedom of speech,C1,"At last week's public forum, the participants spent a good deal of time discussing freedom of speech and shared a range of different views.","Political commentary or newspaper column format suggests a headline or article introduction, likely referencing Canadian campus free speech controversies or cultural debates.

The phrase ""A prominent faculty member recently wrote about freedom of speech"" strongly implies a topic list or discussion about a specific issue, likely ""free speech"" or similar debates around censorship, political correctness, or academic freedom with a parallel structure.

Final token ""speech"" ends mid-phrase (""about free speech""), part of a noun phrase listing topics (""I have been thinking about free expression of speech""), strongly expecting continuation like ""and censorship"" or ""and its limits,"" or ""in universities"" or ""and other controversial issues,"" completing the subject introduction.",en,18,0.935794,True,1,2,描述中提到的言論自由涉及個人權利的保障，且有輕微提及政治或文化爭議的背景，顯示出對於權利的重視。
Qwen,REP-019,zh,S1,S,freedom of speech,C1,在上週的公開座談會上，與會者花了不少時間討論言論自由，也各自提出了不同的看法。,"Hong Kong political blog headline format with bilingual Chinese/English, suggesting a news article or commentary piece about media suppression.

The phrase ""在港人討論 政治正確與言論自由"" signals an opening topic about free speech, strongly implying a specific controversy or discussion around the concept of free speech versus government restrictions or censorship in Hong Kong.

Final token ""自由"" ends mid-phrase ""言论自由"" — part of a list (""讨论言论自由""), likely continuing with ""與其他問題"" or ""的界限"" or ""和網路散佈資訊"" or ""與其他社會議題"" — completing a headline or argument about free speech debates or censorship controversies.",en,0,0.933086,True,2,1,描述明顯以政治管控的視角來探討言論自由，涉及政府限制和審查的議題，但對於個人權利的保障提及較少。
