sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
REP-042|en|latin#84,en,the weather,23,19,22,2,
REP-043|zh|hanzi#85,zh,交通,25,17,24,1,
REP-043|en|latin#86,en,transportation,25,16,24,1,
REP-044|zh|hanzi#87,zh,交通,18,16,17,1,
REP-044|en|latin#88,en,transportation,17,15,16,1,
REP-045|zh|hanzi#89,zh,交通,19,15,18,1,
REP-045|en|latin#90,en,transportation,20,15,19,1,
REP-046|zh|hanzi#91,zh,交通,20,12,19,1,
REP-046|en|latin#92,en,transportation,22,12,21,1,
REP-047|zh|hanzi#93,zh,交通,20,17,19,1,
REP-047|en|latin#94,en,transportation,20,15,19,1,
REP-048|zh|hanzi#95,zh,交通,23,21,22,1,
REP-048|en|latin#96,en,transportation,22,18,21,1,
REP-049|zh|hanzi#97,zh,烹飪,27,19,26,3,
REP-049|en|latin#98,en,cooking,25,16,24,1,
REP-050|zh|hanzi#99,zh,烹飪,20,18,19,3,
REP-050|en|latin#100,en,cooking,17,15,16,1,
REP-051|zh|hanzi#101,zh,烹飪,21,17,20,3,
REP-051|en|latin#102,en,cooking,20,15,19,1,
REP-052|zh|hanzi#103,zh,烹飪,22,14,21,3,
REP-052|en|latin#104,en,cooking,22,12,21,1,
REP-053|zh|hanzi#105,zh,烹飪,22,19,21,3,
REP-053|en|latin#106,en,cooking,20,15,19,1,
REP-054|zh|hanzi#107,zh,烹飪,25,23,24,3,
REP-054|en|latin#108,en,cooking,22,18,21,1,
REP-055|zh|hanzi#109,zh,園藝,26,18,25,2,
REP-055|en|latin#110,en,gardening,25,16,24,1,
REP-056|zh|hanzi#111,zh,園藝,19,17,18,2,
REP-056|en|latin#112,en,gardening,17,15,16,1,
REP-057|zh|hanzi#113,zh,園藝,20,16,19,2,
REP-057|en|latin#114,en,gardening,20,15,19,1,
REP-058|zh|hanzi#115,zh,園藝,21,13,20,2,
REP-058|en|latin#116,en,gardening,22,12,21,1,
REP-059|zh|hanzi#117,zh,園藝,21,18,20,2,
REP-059|en|latin#118,en,gardening,20,15,19,1,
REP-060|zh|hanzi#119,zh,園藝,24,22,23,2,
REP-060|en|latin#120,en,gardening,22,18,21,1,
REP-061|zh|hanzi#121,zh,地震,25,17,24,1,
REP-061|en|latin#122,en,earthquakes,25,16,24,1,
REP-062|zh|hanzi#123,zh,地震,18,16,17,1,
REP-062|en|latin#124,en,earthquakes,17,15,16,1,
REP-063|zh|hanzi#125,zh,地震,19,15,18,1,
REP-063|en|latin#126,en,earthquakes,20,15,19,1,
REP-064|zh|hanzi#127,zh,地震,20,12,19,1,
REP-064|en|latin#128,en,earthquakes,22,12,21,1,
REP-065|zh|hanzi#129,zh,地震,20,17,19,1,
REP-065|en|latin#130,en,earthquakes,20,15,19,1,
REP-066|zh|hanzi#131,zh,地震,23,21,22,1,
REP-066|en|latin#132,en,earthquakes,22,18,21,1,
REP-067|zh|hanzi#133,zh,疾病,25,17,24,1,
REP-067|en|latin#134,en,disease,25,16,24,1,
REP-068|zh|hanzi#135,zh,疾病,18,16,17,1,
REP-068|en|latin#136,en,disease,17,15,16,1,
REP-069|zh|hanzi#137,zh,疾病,18,15,17,1,
REP-069|en|latin#138,en,disease,20,15,19,1,
REP-070|zh|hanzi#139,zh,疾病,20,12,19,1,
REP-070|en|latin#140,en,disease,22,12,21,1,
REP-071|zh|hanzi#141,zh,疾病,20,17,19,1,
REP-071|en|latin#142,en,disease,20,15,19,1,
REP-072|zh|hanzi#143,zh,疾病,23,21,22,1,
REP-072|en|latin#144,en,disease,22,18,21,1,
REP-073|zh|hanzi#145,zh,喪禮,26,18,25,2,
REP-073|en|latin#146,en,funerals,26,17,25,2,
REP-074|zh|hanzi#147,zh,喪禮,19,17,18,2,
REP-074|en|latin#148,en,funerals,18,16,17,2,
REP-075|zh|hanzi#149,zh,喪禮,20,16,19,2,
REP-075|en|latin#150,en,funerals,21,16,20,2,
REP-076|zh|hanzi#151,zh,喪禮,21,13,20,2,
REP-076|en|latin#152,en,funerals,23,13,22,2,
REP-077|zh|hanzi#153,zh,喪禮,21,18,20,2,
REP-077|en|latin#154,en,funerals,21,16,20,2,
REP-078|zh|hanzi#155,zh,喪禮,24,22,23,2,
REP-078|en|latin#156,en,funerals,23,19,22,2,
REP-079|zh|hanzi#157,zh,疼痛,25,17,24,1,
REP-079|en|latin#158,en,pain,25,16,24,1,
REP-080|zh|hanzi#159,zh,疼痛,18,16,17,1,
REP-080|en|latin#160,en,pain,17,15,16,1,
REP-081|zh|hanzi#161,zh,疼痛,19,15,18,1,
REP-081|en|latin#162,en,pain,20,15,19,1,
REP-082|zh|hanzi#163,zh,疼痛,20,12,19,1,
REP-082|en|latin#164,en,pain,22,12,21,1,
REP-083|zh|hanzi#165,zh,疼痛,20,17,19,1,
REP-083|en|latin#166,en,pain,20,15,19,1,
REP-084|zh|hanzi#167,zh,疼痛,23,21,22,1,
REP-084|en|latin#168,en,pain,22,18,21,1,
SUP-085|zh|hanzi#169,zh,自由,11,3,10,1,
SUP-085|en|latin#170,en,freedom,10,3,9,1,
SUP-086|zh|hanzi#171,zh,自由,11,1,10,1,
SUP-086|en|latin#172,en,freedom,8,6,7,1,
SUP-087|zh|hanzi#173,zh,自由,10,7,9,1,
SUP-087|en|latin#174,en,freedom,11,7,10,1,
SUP-088|zh|hanzi#175,zh,自由,6,4,5,1,
SUP-088|en|latin#176,en,freedom,5,3,4,1,
SUP-089|zh|hanzi#177,zh,民主,11,3,10,1,
SUP-089|en|latin#178,en,democracy,10,3,9,1,
SUP-090|zh|hanzi#179,zh,民主,11,1,10,1,
SUP-090|en|latin#180,en,democracy,8,6,7,1,
SUP-091|zh|hanzi#181,zh,民主,10,7,9,1,
SUP-091|en|latin#182,en,democracy,11,7,10,1,
SUP-092|zh|hanzi#183,zh,民主,6,4,5,1,
SUP-092|en|latin#184,en,democracy,5,3,4,1,
SUP-093|zh|hanzi#185,zh,人權,12,4,11,2,
SUP-093|en|latin#186,en,human rights,11,4,10,2,
SUP-094|zh|hanzi#187,zh,人權,12,2,11,2,
SUP-094|en|latin#188,en,human rights,9,7,8,2,
SUP-095|zh|hanzi#189,zh,人權,10,7,9,2,
SUP-095|en|latin#190,en,human rights,12,8,11,2,
SUP-096|zh|hanzi#191,zh,人權,7,5,6,2,
SUP-096|en|latin#192,en,human rights,6,4,5,2,
SUP-097|zh|hanzi#193,zh,言論自由,13,5,12,3,
SUP-097|en|latin#194,en,freedom of speech,12,5,11,3,
SUP-098|zh|hanzi#195,zh,言論自由,13,3,12,3,
SUP-098|en|latin#196,en,freedom of speech,10,8,9,3,
SUP-099|zh|hanzi#197,zh,言論自由,12,9,11,3,
SUP-099|en|latin#198,en,freedom of speech,13,9,12,3,
SUP-100|zh|hanzi#199,zh,言論自由,8,6,7,3,
SUP-100|en|latin#200,en,freedom of speech,7,5,6,3,
SUP-101|zh|hanzi#201,zh,法治,11,3,10,1,
SUP-101|en|latin#202,en,the rule of law,13,6,12,4,
SUP-102|zh|hanzi#203,zh,法治,11,1,10,1,
SUP-102|en|latin#204,en,the rule of law,11,9,10,4,
SUP-103|zh|hanzi#205,zh,法治,10,7,9,1,
SUP-103|en|latin#206,en,the rule of law,14,10,13,4,
SUP-104|zh|hanzi#207,zh,法治,6,4,5,1,
SUP-104|en|latin#208,en,the rule of law,8,6,7,4,
SUP-105|zh|hanzi#209,zh,集會自由,13,5,12,3,
SUP-105|en|latin#210,en,freedom of assembly,12,5,11,3,
SUP-106|zh|hanzi#211,zh,集會自由,13,3,12,3,
SUP-106|en|latin#212,en,freedom of assembly,10,8,9,3,
SUP-107|zh|hanzi#213,zh,集會自由,12,9,11,3,
SUP-107|en|latin#214,en,freedom of assembly,13,9,12,3,
SUP-108|zh|hanzi#215,zh,集會自由,8,6,7,3,
SUP-108|en|latin#216,en,freedom of assembly,7,5,6,3,
SUP-109|zh|hanzi#217,zh,自由,12,4,11,1,
SUP-109|en|latin#218,en,freedom,10,3,9,1,
SUP-110|zh|hanzi#219,zh,自由,12,1,11,1,
SUP-110|en|latin#220,en,freedom,8,6,7,1,
SUP-111|zh|hanzi#221,zh,自由,11,8,10,1,
SUP-111|en|latin#222,en,freedom,11,7,10,1,
SUP-112|zh|hanzi#223,zh,自由,7,5,6,1,
SUP-112|en|latin#224,en,freedom,5,3,4,1,
SUP-113|zh|hanzi#225,zh,民主,12,4,11,1,
SUP-113|en|latin#226,en,democracy,10,3,9,1,
SUP-114|zh|hanzi#227,zh,民主,12,1,11,1,
SUP-114|en|latin#228,en,democracy,8,6,7,1,
SUP-115|zh|hanzi#229,zh,民主,11,8,10,1,
SUP-115|en|latin#230,en,democracy,11,7,10,1,
SUP-116|zh|hanzi#231,zh,民主,7,5,6,1,
SUP-116|en|latin#232,en,democracy,5,3,4,1,
SUP-117|zh|hanzi#233,zh,人權,13,5,12,2,
SUP-117|en|latin#234,en,human rights,11,4,10,2,
SUP-118|zh|hanzi#235,zh,人權,13,2,12,2,
SUP-118|en|latin#236,en,human rights,9,7,8,2,
SUP-119|zh|hanzi#237,zh,人權,11,8,10,2,
SUP-119|en|latin#238,en,human rights,12,8,11,2,
SUP-120|zh|hanzi#239,zh,人權,8,6,7,2,
SUP-120|en|latin#240,en,human rights,6,4,5,2,
SUP-121|zh|hanzi#241,zh,言論自由,14,6,13,3,
SUP-121|en|latin#242,en,freedom of speech,12,5,11,3,
SUP-122|zh|hanzi#243,zh,言論自由,14,3,13,3,
SUP-122|en|latin#244,en,freedom of speech,10,8,9,3,
SUP-123|zh|hanzi#245,zh,言論自由,13,10,12,3,
SUP-123|en|latin#246,en,freedom of speech,13,9,12,3,
SUP-124|zh|hanzi#247,zh,言論自由,9,7,8,3,
SUP-124|en|latin#248,en,freedom of speech,7,5,6,3,
SUP-125|zh|hanzi#249,zh,法治,12,4,11,1,
SUP-125|en|latin#250,en,the rule of law,13,6,12,4,
SUP-126|zh|hanzi#251,zh,法治,12,1,11,1,
SUP-126|en|latin#252,en,the rule of law,11,9,10,4,
SUP-127|zh|hanzi#253,zh,法治,11,8,10,1,
SUP-127|en|latin#254,en,the rule of law,14,10,13,4,
SUP-128|zh|hanzi#255,zh,法治,7,5,6,1,
SUP-128|en|latin#256,en,the rule of law,8,6,7,4,
SUP-129|zh|hanzi#257,zh,集會自由,14,6,13,3,
SUP-129|en|latin#258,en,freedom of assembly,12,5,11,3,
SUP-130|zh|hanzi#259,zh,集會自由,14,3,13,3,
SUP-130|en|latin#260,en,freedom of assembly,10,8,9,3,
SUP-131|zh|hanzi#261,zh,集會自由,13,10,12,3,
SUP-131|en|latin#262,en,freedom of assembly,13,9,12,3,
SUP-132|zh|hanzi#263,zh,集會自由,9,7,8,3,
SUP-132|en|latin#264,en,freedom of assembly,7,5,6,3,
SUP-133|zh|hanzi#265,zh,自由,11,3,10,1,
SUP-133|en|latin#266,en,freedom,12,5,11,1,
SUP-134|zh|hanzi#267,zh,自由,11,1,10,1,
SUP-134|en|latin#268,en,freedom,10,8,9,1,
SUP-135|zh|hanzi#269,zh,自由,10,7,9,1,
SUP-135|en|latin#270,en,freedom,13,7,12,1,
SUP-136|zh|hanzi#271,zh,自由,6,4,5,1,
SUP-136|en|latin#272,en,freedom,7,5,6,1,
SUP-137|zh|hanzi#273,zh,民主,11,3,10,1,
SUP-137|en|latin#274,en,democracy,12,5,11,1,
SUP-138|zh|hanzi#275,zh,民主,11,1,10,1,
SUP-138|en|latin#276,en,democracy,10,8,9,1,
SUP-139|zh|hanzi#277,zh,民主,10,7,9,1,
SUP-139|en|latin#278,en,democracy,13,7,12,1,
SUP-140|zh|hanzi#279,zh,民主,6,4,5,1,
SUP-140|en|latin#280,en,democracy,7,5,6,1,
SUP-141|zh|hanzi#281,zh,人權,12,4,11,2,
SUP-141|en|latin#282,en,human rights,13,6,12,2,
SUP-142|zh|hanzi#283,zh,人權,12,2,11,2,
SUP-142|en|latin#284,en,human rights,11,9,10,2,
SUP-143|zh|hanzi#285,zh,人權,10,7,9,2,
SUP-143|en|latin#286,en,human rights,14,8,13,2,
SUP-144|zh|hanzi#287,zh,人權,7,5,6,2,
SUP-144|en|latin#288,en,human rights,8,6,7,2,
SUP-145|zh|hanzi#289,zh,言論自由,13,5,12,3,
SUP-145|en|latin#290,en,freedom of speech,14,7,13,3,
SUP-146|zh|hanzi#291,zh,言論自由,13,3,12,3,
SUP-146|en|latin#292,en,freedom of speech,12,10,11,3,
SUP-147|zh|hanzi#293,zh,言論自由,12,9,11,3,
SUP-147|en|latin#294,en,freedom of speech,15,9,14,3,
SUP-148|zh|hanzi#295,zh,言論自由,8,6,7,3,
SUP-148|en|latin#296,en,freedom of speech,9,7,8,3,
SUP-149|zh|hanzi#297,zh,法治,11,3,10,1,
SUP-149|en|latin#298,en,the rule of law,15,8,14,4,
SUP-150|zh|hanzi#299,zh,法治,11,1,10,1,
SUP-150|en|latin#300,en,the rule of law,13,11,12,4,
SUP-151|zh|hanzi#301,zh,法治,10,7,9,1,
SUP-151|en|latin#302,en,the rule of law,16,10,15,4,
SUP-152|zh|hanzi#303,zh,法治,6,4,5,1,
SUP-152|en|latin#304,en,the rule of law,10,8,9,4,
SUP-153|zh|hanzi#305,zh,集會自由,13,5,12,3,
SUP-153|en|latin#306,en,freedom of assembly,14,7,13,3,
SUP-154|zh|hanzi#307,zh,集會自由,13,3,12,3,
SUP-154|en|latin#308,en,freedom of assembly,12,10,11,3,
SUP-155|zh|hanzi#309,zh,集會自由,12,9,11,3,
SUP-155|en|latin#310,en,freedom of assembly,15,9,14,3,
SUP-156|zh|hanzi#311,zh,集會自由,8,6,7,3,
SUP-156|en|latin#312,en,freedom of assembly,9,7,8,3,
SUP-157|zh|hanzi#313,zh,自由,11,3,10,1,
SUP-157|en|latin#314,en,freedom,10,3,9,1,
SUP-158|zh|hanzi#315,zh,自由,11,1,10,1,
SUP-158|en|latin#316,en,freedom,8,6,7,1,
SUP-159|zh|hanzi#317,zh,自由,10,7,9,1,
SUP-159|en|latin#318,en,freedom,11,7,10,1,
SUP-160|zh|hanzi#319,zh,自由,6,4,5,1,
SUP-160|en|latin#320,en,freedom,5,3,4,1,
SUP-161|zh|hanzi#321,zh,民主,11,3,10,1,
SUP-161|en|latin#322,en,democracy,10,3,9,1,
SUP-162|zh|hanzi#323,zh,民主,11,1,10,1,
SUP-162|en|latin#324,en,democracy,8,6,7,1,
SUP-163|zh|hanzi#325,zh,民主,10,7,9,1,
SUP-163|en|latin#326,en,democracy,11,7,10,1,
SUP-164|zh|hanzi#327,zh,民主,6,4,5,1,
SUP-164|en|latin#328,en,democracy,5,3,4,1,
SUP-165|zh|hanzi#329,zh,人權,12,4,11,2,
SUP-165|en|latin#330,en,human rights,11,4,10,2,
SUP-166|zh|hanzi#331,zh,人權,12,2,11,2,
SUP-166|en|latin#332,en,human rights,9,7,8,2,
SUP-167|zh|hanzi#333,zh,人權,10,7,9,2,
SUP-167|en|latin#334,en,human rights,12,8,11,2,
SUP-168|zh|hanzi#335,zh,人權,7,5,6,2,
SUP-168|en|latin#336,en,human rights,6,4,5,2,
SUP-169|zh|hanzi#337,zh,言論自由,13,5,12,3,
SUP-169|en|latin#338,en,freedom of speech,12,5,11,3,
SUP-170|zh|hanzi#339,zh,言論自由,13,3,12,3,
SUP-170|en|latin#340,en,freedom of speech,10,8,9,3,
SUP-171|zh|hanzi#341,zh,言論自由,12,9,11,3,
SUP-171|en|latin#342,en,freedom of speech,13,9,12,3,
SUP-172|zh|hanzi#343,zh,言論自由,8,6,7,3,
SUP-172|en|latin#344,en,freedom of speech,7,5,6,3,
SUP-173|zh|hanzi#345,zh,法治,11,3,10,1,
SUP-173|en|latin#346,en,the rule of law,13,6,12,4,
SUP-174|zh|hanzi#347,zh,法治,11,1,10,1,
SUP-174|en|latin#348,en,the rule of law,11,9,10,4,
SUP-175|zh|hanzi#349,zh,法治,10,7,9,1,
SUP-175|en|latin#350,en,the rule of law,14,10,13,4,
SUP-176|zh|hanzi#351,zh,法治,6,4,5,1,
SUP-176|en|latin#352,en,the rule of law,8,6,7,4,
SUP-177|zh|hanzi#353,zh,集會自由,13,5,12,3,
SUP-177|en|latin#354,en,freedom of assembly,12,5,11,3,
SUP-178|zh|hanzi#355,zh,集會自由,13,3,12,3,
SUP-178|en|latin#356,en,freedom of assembly,10,8,9,3,
SUP-179|zh|hanzi#357,zh,集會自由,12,9,11,3,
SUP-179|en|latin#358,en,freedom of assembly,13,9,12,3,
SUP-180|zh|hanzi#359,zh,集會自由,8,6,7,3,
SUP-180|en|latin#360,en,freedom of assembly,7,5,6,3,
